best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Time to Expiration
107.0,746.0,63.48,62.01,ETH-29NOV24,2690.54,62.74,0.039,0.0405,0.0,0.0397,118.0,0.0905,0.015,0.043918,0.0745,"[[0.0405, 746.0]]","[[0.039, 107.0]]",ETH-29NOV24-2500-P,2634.39,14429666567,1730245595912,-0.78176,-2.8285,2.73593,0.00072,-0.30977,0.0,0.0,,,,month,29NOV24,2500,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.54,80.51,0.0,0.0,0.0,0.4067,0.0,0.434,0.381,0.399029,0.422,[],[],ETH-29NOV24-1600-C,2634.39,14252040092,1730245596014,1.52607,-0.34492,0.30638,5e-05,0.98568,0.0,0.0,,,,month,29NOV24,1600,0.0821917808219178
240.0,258.0,67.19,65.51,ETH-29NOV24,2690.54,66.34,0.0125,0.0135,0.0,0.013,882.0,0.047,0.0001,0.014497,0.015,"[[0.0135, 258.0]]","[[0.0125, 240.0]]",ETH-29NOV24-2200-P,2634.39,14429650744,1730245596014,-0.30977,-1.7505,1.60138,0.0004,-0.1255,745.64,19.0,0.0,0.015,0.015,month,29NOV24,2200,0.0821917808219178
329.0,272.0,63.66,61.2,ETH-29NOV24,2690.54,62.74,0.109,0.1115,0.0,0.1106,718.0,0.164,0.071,0.102483,0.0882,"[[0.1115, 272.0]]","[[0.109, 329.0]]",ETH-29NOV24-2500-C,2634.39,14429670587,1730245595912,1.29653,-2.8285,2.73593,0.00072,0.69023,56544.58,250.0,0.0,0.0882,0.0882,month,29NOV24,2500,0.0821917808219178
1338.0,1200.0,74.35,70.16,ETH-29NOV24,2690.54,72.25,0.0055,0.007,0.0,0.0062,128.0,0.0315,0.0001,0.006491,0.0115,"[[0.007, 1200.0]]","[[0.0055, 1338.0]]",ETH-29NOV24-2000-P,2634.39,14429648827,1730245595912,-0.15547,-1.1469,0.96332,0.00022,-0.06328,0.0,0.0,,,,month,29NOV24,2000,0.0821917808219178
4.0,240.0,138.09,125.16,ETH-29NOV24,2690.54,130.69,0.0002,0.0005,0.0,0.0003,1.0,0.015,0.0001,0.000361,0.0007,"[[0.0005, 240.0]]","[[0.0002, 4.0]]",ETH-29NOV24-1000-P,2634.39,14429643778,1730245595912,-0.00614,-0.12681,0.05889,1e-05,-0.00244,0.0,0.0,,,,month,29NOV24,1000,0.0821917808219178
0.0,68.0,167.91,0.0,ETH-29NOV24,2690.54,130.69,0.0,0.6305,0.0,0.6286,994.0,0.647,0.613,0.623784,0.5885,"[[0.6305, 68.0]]",[],ETH-29NOV24-1000-C,2634.39,14429658818,1730245595912,0.8252,-0.1268,0.05888,1e-05,0.99756,0.0,0.0,,,,month,29NOV24,1000,0.0821917808219178
957.0,290.0,81.46,78.53,ETH-29NOV24,2690.54,79.99,0.0028,0.0034,0.0,0.0031,1708.0,0.0215,0.0001,0.003497,0.008,"[[0.0034, 290.0]]","[[0.0028, 957.0]]",ETH-29NOV24-1800-P,2634.39,14429647984,1730245596014,-0.07755,-0.72595,0.55076,0.00011,-0.03158,0.0,0.0,,,,month,29NOV24,1800,0.0821917808219178
1125.0,592.0,64.09,62.4,ETH-29NOV24,2690.54,63.24,0.027,0.0285,0.0,0.0277,184.0,0.073,0.0085,0.030749,0.0289,"[[0.0285, 592.0]]","[[0.027, 1125.0], [0.023, 5.0]]",ETH-29NOV24-2400-P,2634.39,14429656852,1730245596014,-0.59085,-2.49235,2.39181,0.00063,-0.23641,6063.87,80.0,-2.0339,0.0289,0.0295,month,29NOV24,2400,0.0821917808219178
662.0,662.0,91.69,60.45,ETH-29NOV24,2690.54,79.99,0.3315,0.337,0.0,0.3341,122.0,0.3695,0.3045,0.325655,0.321,"[[0.337, 662.0]]","[[0.3315, 662.0]]",ETH-29NOV24-1800-C,2634.39,14429671063,1730245596014,1.41883,-0.72591,0.55071,0.00011,0.96842,0.0,0.0,,,,month,29NOV24,1800,0.0821917808219178
