best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period
111.0,353.0,28.04,31.09,SYN.ETH-6FEB24,2304.9784,29.56,0.0,0.006,0.007,0.0,0.032,0.0001,,"[[0.007, 353.0], [0.0075, 252.0], [0.008, 508.0], [0.0085, 5.0]]","[[0.006, 111.0], [0.0055, 390.0], [0.005, 439.0]]",,ETH-6FEB24-2325-C,0.0065,2302.92,5968321610,1706969632195,0.06336,-4.07605,0.7558,0.00641,0.37263,0.0,0.0,,,,day
482.0,484.0,24.36,30.52,SYN.ETH-6FEB24,2304.9784,29.56,0.0,0.0135,0.0155,240.0,0.0465,0.0002,0.0155,"[[0.0155, 484.0]]","[[0.0135, 482.0], [0.0125, 476.0]]",,ETH-6FEB24-2325-P,0.0152,2302.92,5968329198,1706969632193,-0.11119,-4.07605,0.7558,0.00641,-0.62737,8758.77,246.0,14.8148,0.0135,0.0155,day
274.0,174.0,28.16,30.84,SYN.ETH-6FEB24,2304.9784,29.56,0.0,0.003,0.0037,1.0,0.026,0.0001,0.0035,"[[0.0037, 174.0], [0.0039, 344.0], [0.004, 56.0], [0.0041, 300.0], [0.01, 57.0]]","[[0.003, 274.0], [0.0029, 136.0], [0.0025, 439.0], [0.0024, 2.0]]",,ETH-6FEB24-2350-C,0.0034,2302.92,5968328776,1706969632194,0.03903,-3.26166,0.60479,0.00513,0.22888,1572.54,180.0,-7.8947,0.0035,0.0038,day
10.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.9584,29.56,0.0,0.0005,0.0,0.0,0.0555,0.0015,,[],"[[0.0005, 10.0]]",,ETH-6FEB24-2350-P,0.0229,2302.84,5968316440,1706969633200,-0.13742,-3.26122,0.60466,0.00513,-0.7712,0.0,0.0,,,,day
296.0,136.0,29.25,32.45,SYN.ETH-6FEB24,2304.9584,30.85,0.0,0.0015,0.0021,0.0,0.021,0.0001,,"[[0.0021, 136.0], [0.0022, 292.0], [0.0025, 7.0], [0.0029, 659.0]]","[[0.0015, 296.0], [0.0014, 296.0], [0.0011, 322.0], [0.0001, 631.0]]",,ETH-6FEB24-2375-C,0.0018,2302.84,5968326824,1706969633201,0.02292,-2.4308,0.4319,0.00351,0.13422,0.0,0.0,,,,day
26.0,26.0,16.01,43.26,SYN.ETH-6FEB24,2304.8784,30.85,0.0,0.0305,0.035,0.0,0.0655,0.0055,,"[[0.035, 26.0]]","[[0.0305, 26.0], [0.012, 3.0]]",,ETH-6FEB24-2375-P,0.0322,2302.79,5968328283,1706969634207,-0.15543,-2.42823,0.43136,0.00351,-0.86602,0.0,0.0,,,,day
14.0,530.0,31.06,34.92,SYN.ETH-6FEB24,2304.8784,32.94,0.0,0.0008,0.0013,50.0,0.018,0.0001,0.0014,"[[0.0013, 530.0], [0.0016, 344.0], [0.0023, 1366.0]]","[[0.0008, 14.0], [0.0007, 167.0], [0.0004, 688.0], [0.0002, 62.0]]",,ETH-6FEB24-2400-C,0.001,2302.79,5968326675,1706969634209,0.01373,-1.79056,0.29791,0.00227,0.08036,161.14,50.0,0.0,0.0014,0.0014,day
4.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.8784,32.94,0.0,0.035,0.0,0.0,0.0765,0.013,,[],"[[0.035, 4.0]]",,ETH-6FEB24-2400-P,0.0423,2302.79,5968326386,1706969634208,-0.16645,-1.79056,0.29791,0.00227,-0.91964,0.0,0.0,,,,day
431.0,20.0,33.72,37.66,SYN.ETH-6FEB24,2304.8284,35.67,0.0,0.0002,0.0004,0.0,0.015,0.0001,,"[[0.0004, 20.0], [0.0005, 139.0], [0.0006, 148.0], [0.0007, 4.0], [0.0008, 357.0]]","[[0.0002, 431.0], [0.0001, 341.0]]",,ETH-6FEB24-2450-C,0.0003,2302.76,5968327814,1706969635217,0.00427,-0.66403,0.11649,0.00082,0.02494,0.0,0.0,,,,day
10.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.8284,35.67,0.0,0.0005,0.0,0.0,0.0975,0.0325,,[],"[[0.0005, 10.0]]",,ETH-6FEB24-2450-P,0.0633,2302.76,5968319599,1706969635215,-0.17967,-0.75814,0.11649,0.00082,-0.97506,0.0,0.0,,,,day
540.0,1.0,39.29,43.01,SYN.ETH-6FEB24,2304.8284,44.75,0.0,0.0001,0.0002,0.0,0.015,0.0001,,"[[0.0002, 1.0], [0.0004, 1.0], [0.0005, 2.0], [0.0006, 362.0], [0.0014, 719.0]]","[[0.0001, 540.0]]",,ETH-6FEB24-2500-C,0.0003,2302.76,5968328843,1706969635215,0.00323,-0.60841,0.0922,0.00052,0.01891,0.0,0.0,,,,day
0.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.8284,44.75,0.0,0.0,0.0,0.0,0.121,0.0535,,[],[],,ETH-6FEB24-2500-P,0.0849,2302.76,0,1706969635215,-0.18446,-0.75292,0.0922,0.00052,-0.98109,0.0,0.0,,,,day
0.0,0.0,0.0,0.0,ETH-9FEB24,2307.06,96.77,0.0,0.0,0.0,0.0,0.2895,0.2405,,[],[],0.266442,ETH-9FEB24-1700-C,0.2633,2302.76,5961676772,1706969635214,0.26547,-0.35173,0.04173,5e-05,0.99501,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2307.06,96.77,0.0,0.0,0.0,0.0,0.015,0.0001,,[],[],0.000216,ETH-9FEB24-1700-P,0.0002,2302.76,5961676699,1706969635214,-0.00188,-0.35173,0.04173,5e-05,-0.00499,0.0,0.0,,,,week
0.0,16.0,0.0,499.37,ETH-9FEB24,2307.06,77.42,0.0,0.0,0.345,1.0,0.246,0.196,0.233,"[[0.345, 16.0]]",[],0.223207,ETH-9FEB24-1800-C,0.2199,2302.76,5968328590,1706969635214,0.28136,-0.26175,0.03881,6e-05,0.9954,0.0,0.0,,,,week
151.0,298.0,74.45,80.36,ETH-9FEB24,2307.06,77.42,0.0,0.0001,0.0002,153.0,0.015,0.0001,0.0001,"[[0.0002, 298.0], [0.0005, 720.0], [0.0011, 720.0], [0.0013, 500.0], [0.0019, 24.0]]","[[0.0001, 151.0]]",0.000144,ETH-9FEB24-1800-P,0.0001,2302.76,5968326588,1706969635214,-0.00172,-0.26175,0.03881,6e-05,-0.0046,393.87,1000.0,-50.0,0.0001,0.0009,week
0.0,16.0,0.0,499.02,ETH-9FEB24,2307.06,66.36,0.0,0.0,0.3225,0.0,0.2045,0.151,,"[[0.3225, 16.0]]",[],0.180146,ETH-9FEB24-1900-C,0.1767,2302.76,5968329248,1706969635214,0.29553,-0.39836,0.06892,0.00012,0.99121,0.0,0.0,,,,week
86.0,720.0,59.59,74.83,ETH-9FEB24,2307.06,66.36,0.0,0.0001,0.0006,13.0,0.015,0.0001,0.0002,"[[0.0006, 720.0], [0.0011, 720.0], [0.002, 10.0], [0.035, 2.0]]","[[0.0001, 86.0]]",0.000247,ETH-9FEB24-1900-P,0.0003,2302.76,5968328947,1706969635214,-0.00328,-0.39836,0.06892,0.00012,-0.00879,0.0,0.0,,,,week
0.0,1.0,0.0,177.14,ETH-9FEB24,2307.06,46.87,0.0,0.0,0.1655,1.0,0.1665,0.1065,0.149,"[[0.1655, 1.0], [0.18, 2.0], [0.2, 1.0], [0.22, 1.0]]",[],0.136893,ETH-9FEB24-2000-C,0.1333,2302.76,5968325707,1706969635214,0.31196,-0.2289,0.05607,0.00014,0.99304,0.0,0.0,,,,week
6.0,117.0,45.22,55.88,ETH-9FEB24,2307.03,46.87,0.0,0.0001,0.0005,492.0,0.018,0.0001,0.0002,"[[0.0005, 117.0], [0.0006, 72.0], [0.0012, 1440.0], [0.0013, 1.0], [0.002, 2.0], [0.0027, 1.0], [0.0115, 2.0]]","[[0.0001, 6.0]]",0.000157,ETH-9FEB24-2000-P,0.0001,2302.78,5968329054,1706969639243,-0.00257,-0.22902,0.0561,0.00014,-0.00696,65.0,140.0,0.0,0.0002,0.0002,week
0.0,15.0,0.0,500.03,ETH-9FEB24,2307.03,38.45,0.0,0.0,0.2825,1.0,0.132,0.064,0.1065,"[[0.2825, 15.0]]",[],0.09411,ETH-9FEB24-2100-C,0.0902,2302.78,5968327663,1706969639242,0.32133,-0.55057,0.16441,0.00051,0.97582,0.0,0.0,,,,week
151.0,11.0,36.14,40.42,ETH-9FEB24,2307.03,38.45,0.0,0.0003,0.0006,382.0,0.0315,0.0001,0.0008,"[[0.0006, 11.0], [0.0007, 87.0], [0.0008, 195.0], [0.0009, 140.0], [0.001, 15.0], [0.0012, 356.0], [0.005, 2.0], [0.0055, 4.0], [0.01, 10.0]]","[[0.0003, 151.0], [0.0002, 1667.0], [0.0001, 35.0]]",0.000537,ETH-9FEB24-2100-P,0.0004,2302.78,5968325089,1706969639241,-0.00893,-0.55057,0.16441,0.00051,-0.02418,84.98,31.0,-42.8571,0.0008,0.0014,week
1.0,480.0,31.34,43.42,ETH-9FEB24,2307.01,36.82,0.0,0.0485,0.052,77.0,0.1015,0.029,0.052,"[[0.052, 480.0], [0.0525, 480.0]]","[[0.0485, 1.0], [0.047, 480.0], [0.046, 480.0], [0.045, 480.0]]",0.053512,ETH-9FEB24-2200-C,0.05,2302.8,5968329328,1706969640248,0.29156,-2.12895,0.66386,0.00215,0.85354,0.0,0.0,,,,week
77.0,187.0,36.27,37.32,ETH-9FEB24,2307.01,36.82,0.0,0.0034,0.0037,2146.0,0.0505,0.0001,0.0036,"[[0.0037, 187.0], [0.0038, 388.0], [0.0041, 321.0], [0.0048, 1286.0], [0.04, 10.0]]","[[0.0034, 77.0], [0.0033, 11.0], [0.0032, 36.0], [0.003, 63.0], [0.0029, 145.0], [0.0028, 5.0]]",0.003102,ETH-9FEB24-2200-P,0.0036,2302.8,5968328870,1706969640248,-0.05443,-2.12895,0.66386,0.00215,-0.14646,33042.52,3003.0,-40.0,0.0032,0.006,week
1113.0,296.0,31.9,35.92,ETH-9FEB24,2307.01,34.53,0.0,0.0175,0.0195,1078.0,0.0755,0.0039,0.0195,"[[0.0195, 296.0], [0.0395, 2.0], [0.07, 5.0], [0.2, 10.0]]","[[0.0175, 1113.0], [0.015, 2.0], [0.011, 10.0]]",0.021198,ETH-9FEB24-2300-C,0.0188,2302.8,5968324575,1706969640248,0.18787,-3.45672,1.14933,0.00398,0.53662,140810.46,2843.0,0.0,0.0185,0.024,week
111.0,90.0,33.99,34.99,ETH-9FEB24,2307.01,34.53,0.0,0.0155,0.016,1192.0,0.0745,0.0008,0.016,"[[0.016, 90.0], [0.0165, 131.0], [0.0175, 482.0], [0.026, 200.0]]","[[0.0155, 111.0], [0.015, 266.0], [0.0145, 88.0], [0.0135, 1064.0], [0.0105, 1.0]]",0.013951,ETH-9FEB24-2300-P,0.0158,2302.8,5968328641,1706969640248,-0.17384,-3.45672,1.14933,0.00398,-0.46338,146423.32,3532.0,-23.8095,0.013,0.021,week
176.0,38.0,34.73,35.6,ETH-9FEB24,2307.01,35.14,0.0,0.0044,0.0047,2018.0,0.0545,0.0001,0.0047,"[[0.0047, 38.0], [0.0048, 36.0], [0.0049, 50.0], [0.0055, 732.0], [0.0065, 1200.0], [0.01, 36.0], [0.012, 2.0], [0.013, 25.0]]","[[0.0044, 176.0], [0.0043, 339.0], [0.0041, 498.0], [0.004, 36.0], [0.0039, 232.0], [0.0036, 75.0], [0.0034, 602.0], [0.0005, 5.0]]",0.005498,ETH-9FEB24-2400-C,0.0045,2302.8,5968329247,1706969640248,0.06761,-2.41005,0.78734,0.00268,0.19089,65685.42,3922.0,-21.6667,0.0047,0.0085,week
480.0,480.0,16.05,44.93,ETH-9FEB24,2307.01,35.14,0.0,0.0405,0.0485,1.0,0.104,0.025,0.0655,"[[0.0485, 480.0], [0.05, 480.0], [0.0505, 480.0]]","[[0.0405, 480.0], [0.03, 2.0]]",0.041414,ETH-9FEB24-2400-P,0.0448,2302.8,5968327880,1706969640249,-0.30983,-2.41005,0.78734,0.00268,-0.80911,0.0,0.0,,,,week
111.0,100.0,41.26,41.89,ETH-9FEB24,2307.05,41.57,0.0,0.0014,0.0015,655.0,0.038,0.0001,0.0014,"[[0.0015, 100.0], [0.0016, 208.0], [0.0017, 526.0], [0.0018, 468.0], [0.0026, 20.0], [0.0027, 695.0], [0.0075, 1500.0]]","[[0.0014, 111.0], [0.0011, 36.0], [0.001, 189.0], [0.0008, 24.0], [0.0007, 350.0], [0.0002, 3.0]]",0.001801,ETH-9FEB24-2500-C,0.0014,2302.8,5968329336,1706969640878,0.02303,-1.32731,0.36656,0.00105,0.06494,1480.64,318.0,-44.0,0.0014,0.0025,week
473.0,480.0,0.0,55.08,ETH-9FEB24,2307.01,41.57,0.0,0.0835,0.088,480.0,0.1375,0.056,0.084,"[[0.088, 480.0], [0.0885, 1440.0]]","[[0.0835, 473.0], [0.0825, 480.0]]",0.08088,ETH-9FEB24-2500-P,0.0851,2302.8,5968327878,1706969640250,-0.37015,-1.32636,0.36631,0.00105,-0.93512,92897.26,477.0,0.0,0.084,0.084,week
635.0,382.0,45.55,49.73,ETH-9FEB24,2307.01,47.63,0.0,0.0004,0.0007,472.0,0.0255,0.0001,0.0008,"[[0.0007, 382.0], [0.0008, 555.0], [0.0015, 716.0], [0.0075, 4.0], [0.018, 1.0]]","[[0.0004, 635.0]]",0.000537,ETH-9FEB24-2600-C,0.0005,2302.8,5968326910,1706969640249,0.00863,-0.6854,0.16521,0.00041,0.02432,0.0,0.0,,,,week
0.0,12.0,0.0,499.38,ETH-9FEB24,2307.05,47.64,0.0,0.0,0.3295,86.0,0.1745,0.095,0.636,"[[0.3295, 12.0]]",[],0.12278,ETH-9FEB24-2600-P,0.1275,2302.76,5968326053,1706969643269,-0.40026,-0.68625,0.16539,0.00041,-0.97565,0.0,0.0,,,,week
342.0,14.0,48.46,55.26,ETH-9FEB24,2307.05,51.94,0.0,0.0001,0.0003,283.0,0.017,0.0001,0.0003,"[[0.0003, 14.0], [0.0004, 147.0], [0.0006, 720.0], [0.012, 1.0], [0.0125, 4.0]]","[[0.0001, 342.0]]",0.000201,ETH-9FEB24-2700-C,0.0002,2302.76,5968329029,1706969643269,0.00306,-0.30605,0.06764,0.00016,0.00861,0.0,0.0,,,,week
0.0,11.0,0.0,499.4,ETH-9FEB24,2307.05,51.94,0.0,0.0,0.36,0.0,0.2145,0.1365,,"[[0.36, 11.0]]",[],0.165607,ETH-9FEB24-2700-P,0.1705,2302.76,5968326047,1706969643270,-0.42157,-0.30605,0.06764,0.00016,-0.99139,0.0,0.0,,,,week
1.0,50.0,58.26,68.61,ETH-9FEB24,2306.98,57.66,0.0,0.0001,0.0004,1.0,0.015,0.0001,0.0002,"[[0.0004, 50.0], [0.0005, 560.0], [0.0022, 2.0], [0.02, 10.0], [0.05, 6.0]]","[[0.0001, 1.0]]",0.000134,ETH-9FEB24-2800-C,0.0001,2302.79,5968329027,1706969644277,0.00146,-0.17656,0.03516,7e-05,0.00412,0.0,0.0,,,,week
0.0,11.0,0.0,499.62,ETH-9FEB24,2306.98,57.66,0.0,0.0,0.3915,0.0,0.2555,0.1785,0.3175,"[[0.3915, 11.0]]",[],0.208703,ETH-9FEB24-2800-P,0.2138,2302.79,5968328839,1706969644277,-0.43889,-0.17656,0.03516,7e-05,-0.99588,0.0,0.0,,,,week
20.0,20.0,67.52,72.75,ETH-9FEB24,2306.98,70.12,0.0,0.0001,0.0002,250.0,0.015,0.0001,0.0001,"[[0.0002, 20.0], [0.0003, 20.0], [0.0006, 200.0]]","[[0.0001, 20.0]]",0.000144,ETH-9FEB24-2900-C,0.0001,2302.79,5968318718,1706969644276,0.00186,-0.26787,0.04385,7e-05,0.00527,57.94,250.0,0.0,0.0001,0.0001,week
0.0,10.0,0.0,499.26,ETH-9FEB24,2306.98,70.12,0.0,0.0,0.4235,0.0,0.2995,0.2205,,"[[0.4235, 10.0]]",[],0.251876,ETH-9FEB24-2900-P,0.2572,2302.79,5968327666,1706969644276,-0.45422,-0.26787,0.04385,7e-05,-0.99473,0.0,0.0,,,,week
0.0,510.0,0.0,76.33,ETH-9FEB24,2306.98,71.98,0.0,0.0,0.0001,1.0,0.015,0.0001,0.0003,"[[0.0001, 510.0], [0.0026, 3.0]]",[],5.9e-05,ETH-9FEB24-3000-C,0.0001,2302.79,5968329134,1706969644276,0.00074,-0.11949,0.01906,3e-05,0.00209,0.0,0.0,,,,week
0.0,10.0,0.0,499.4,ETH-9FEB24,2306.98,71.98,0.0,0.0,0.4565,0.0,0.343,0.263,,"[[0.4565, 10.0]]",[],0.294954,ETH-9FEB24-3000-P,0.3004,2302.79,5968328640,1706969644276,-0.47107,-0.11949,0.01906,3e-05,-0.99791,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.98,100.0,0.0,0.0,0.0,0.0,0.0155,0.0001,,[],[],0.000589,ETH-9FEB24-3100-C,0.0005,2302.79,5961676652,1706969644277,0.0038,-0.72485,0.08322,0.0001,0.01091,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.98,100.0,0.0,0.0,0.0,0.0,0.3945,0.305,,[],[],0.338648,ETH-9FEB24-3100-P,0.3442,2302.79,5961676501,1706969644276,-0.48373,-0.72485,0.08322,0.0001,-0.98909,0.0,0.0,,,,week
0.0,42.0,0.0,92.78,ETH-9FEB24,2306.99,100.0,0.0,0.0,0.0001,68.0,0.015,0.0001,0.0001,"[[0.0001, 42.0], [0.0003, 3.0], [0.0015, 1.0], [0.0025, 2.0]]",[],0.000284,ETH-9FEB24-3200-C,0.0002,2302.76,5968329223,1706969647298,0.0019,-0.39284,0.0451,5e-05,0.00544,0.0,0.0,,,,week
0.0,9.0,0.0,499.55,ETH-9FEB24,2306.99,100.0,0.0,0.0,0.5245,0.0,0.4365,0.347,,"[[0.5245, 9.0]]",[],0.381506,ETH-9FEB24-3200-P,0.3873,2302.76,5968328809,1706969647298,-0.50136,-0.39284,0.0451,5e-05,-0.99456,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.99,100.0,0.0,0.0,0.0,0.0,0.015,0.0001,0.0865,[],[],0.000133,ETH-9FEB24-3300-C,0.0001,2302.76,5961676765,1706969647298,0.00092,-0.20407,0.02343,3e-05,0.00262,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.95,100.0,0.0,0.0,0.0,0.0,0.4795,0.389,,[],[],0.424518,ETH-9FEB24-3300-P,0.4305,2302.79,5961676688,1706969648305,-0.51807,-0.20399,0.02342,3e-05,-0.99738,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.95,100.0,0.0,0.0,0.0,40.0,0.015,0.0001,0.0705,[],[],6.1e-05,ETH-9FEB24-3400-C,0.0,2302.79,5961676845,1706969648304,0.00043,-0.09623,0.01171,1e-05,0.00122,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.95,100.0,0.0,0.0,0.0,0.0,0.523,0.431,,[],[],0.467609,ETH-9FEB24-3400-P,0.4738,2302.79,5961676641,1706969648305,-0.53428,-0.10201,0.01171,1e-05,-0.99878,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.95,100.0,0.0,0.0,0.0,0.0,0.015,0.0001,0.0048,[],[],2.7e-05,ETH-9FEB24-3500-C,0.0,2302.79,5961676630,1706969648304,0.00019,-0.04135,0.00566,1e-05,0.00055,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.95,100.0,0.0,0.0,0.0,0.0,0.5665,0.473,,[],[],0.510738,ETH-9FEB24-3500-P,0.5172,2302.79,5961676637,1706969648305,-0.55024,-0.0493,0.00566,1e-05,-0.99945,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.98,100.0,0.0,0.0,0.0,0.0,0.015,0.0001,0.0001,[],[],1.2e-05,ETH-9FEB24-3600-C,0.0,2302.83,5961676473,1706969650318,9e-05,-0.01738,0.00265,0.0,0.00025,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.98,100.0,0.0,0.0,0.0,0.0,0.6105,0.5155,0.365,[],[],0.553886,ETH-9FEB24-3600-P,0.5605,2302.83,5961676428,1706969650318,-0.56608,-0.02312,0.00265,0.0,-0.99975,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2306.98,100.0,0.0,0.0,0.0,0.0,0.015,0.0001,,[],[],5e-06,ETH-9FEB24-3700-C,0.0,2302.83,5961676493,1706969650318,4e-05,-0.00716,0.00121,0.0,0.00011,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-9FEB24,2307.02,100.0,0.0,0.0,0.0,0.0,0.6545,0.5575,,[],[],0.597042,ETH-9FEB24-3700-P,0.6038,2302.8,5961676853,1706969651325,-0.58185,-0.01055,0.00121,0.0,-0.99989,0.0,0.0,,,,week
0.0,19.0,0.0,499.74,ETH-16FEB24,2309.15,100.0,0.0,0.0,0.479,43.0,0.3385,0.286,0.3135,"[[0.479, 19.0]]",[],0.31131,ETH-16FEB24-1600-C,0.3085,2302.8,5968327742,1706969651325,0.54132,-0.81412,0.20744,0.00011,0.98016,0.0,0.0,,,,week
10.0,43.0,76.8,80.45,ETH-16FEB24,2309.15,100.0,0.0,0.0002,0.0003,250.0,0.0175,0.0001,0.0016,"[[0.0003, 43.0], [0.0007, 360.0], [0.0014, 1440.0]]","[[0.0002, 10.0], [0.0001, 221.0]]",0.001456,ETH-16FEB24-1600-P,0.0014,2302.8,5968325618,1706969651325,-0.01716,-0.81412,0.20744,0.00011,-0.01984,927.14,250.0,0.0,0.0016,0.0016,week
0.0,0.0,0.0,0.0,ETH-16FEB24,2309.12,100.0,0.0,0.0,0.0,0.0,0.303,0.242,,[],[],0.270093,ETH-16FEB24-1700-C,0.2672,2302.78,5961676645,1706969652333,0.55714,-1.50581,0.38369,0.00021,0.95841,0.0,0.0,,,,week
0.0,0.0,0.0,0.0,ETH-16FEB24,2309.12,100.0,0.0,0.0,0.0,0.0,0.0265,0.0001,,[],[],0.003374,ETH-16FEB24-1700-P,0.0034,2302.78,5961676570,1706969652332,-0.03625,-1.50581,0.38369,0.00021,-0.04159,0.0,0.0,,,,week
0.0,17.0,0.0,499.83,ETH-16FEB24,2309.12,59.61,0.0,0.0,0.4405,0.0,0.2495,0.1965,,"[[0.4405, 17.0]]",[],0.223984,ETH-16FEB24-1800-C,0.2209,2302.78,5968328927,1706969652332,0.61911,-0.29114,0.12444,0.00011,0.98905,0.0,0.0,,,,week
5.0,483.0,58.99,62.39,ETH-16FEB24,2309.12,59.61,0.0,0.0004,0.0006,0.0,0.015,0.0001,0.0006,"[[0.0006, 483.0], [0.0007, 312.0], [0.0008, 30.0], [0.001, 360.0]]","[[0.0004, 5.0], [0.0003, 5.0], [0.0002, 378.0], [0.0001, 311.0]]",0.000398,ETH-16FEB24-1800-P,0.0004,2302.78,5968329302,1706969652332,-0.00917,-0.29114,0.12444,0.00011,-0.01095,0.0,0.0,,,,week
0.0,16.0,0.0,499.37,ETH-16FEB24,2309.12,51.76,0.0,0.0,0.4225,0.0,0.2125,0.1525,,"[[0.4225, 16.0]]",[],0.181293,ETH-16FEB24-1900-C,0.1779,2302.78,5968315723,1706969652333,0.64693,-0.41463,0.20411,0.00021,0.98054,0.0,0.0,,,,week
181.0,4.0,49.09,53.73,ETH-16FEB24,2309.1,51.76,0.0,0.0005,0.0009,13.0,0.021,0.0001,0.0009,"[[0.0009, 4.0], [0.001, 192.0], [0.0012, 11.0], [0.0014, 358.0], [0.0021, 2.0], [0.0028, 3.0]]","[[0.0005, 181.0], [0.0004, 148.0], [0.0002, 419.0], [0.0001, 462.0]]",0.000841,ETH-16FEB24-1900-P,0.0007,2302.79,5968329108,1706969654347,-0.01627,-0.41475,0.20417,0.00021,-0.01947,41.71,20.0,0.0,0.0009,0.0009,week
0.0,2.0,0.0,191.8,ETH-16FEB24,2309.1,45.71,0.0,0.0,0.21,0.0,0.1785,0.1105,,"[[0.21, 2.0], [0.2105, 1.0]]",[],0.138863,ETH-16FEB24-2000-C,0.1354,2302.79,5968328403,1706969654347,0.66286,-0.69662,0.38834,0.00046,0.95779,0.0,0.0,,,,week
140.0,3.0,45.01,45.62,ETH-16FEB24,2309.1,45.71,0.0,0.0014,0.0015,28.0,0.0335,0.0001,0.0022,"[[0.0015, 3.0], [0.0016, 4.0], [0.0017, 17.0], [0.0018, 185.0], [0.0019, 454.0], [0.0024, 353.0], [0.0027, 2.0]]","[[0.0014, 140.0], [0.0013, 150.0], [0.001, 1155.0], [0.0009, 46.0], [0.0002, 708.0]]",0.001545,ETH-16FEB24-2000-P,0.0015,2302.79,5968329278,1706969654346,-0.03524,-0.69662,0.38834,0.00046,-0.04221,10.05,2.0,0.0,0.0022,0.0022,week
311.0,16.0,0.0,499.69,ETH-16FEB24,2309.11,41.0,0.0,0.0905,0.39,0.0,0.147,0.0725,,"[[0.39, 16.0]]","[[0.0905, 311.0]]",0.097929,ETH-16FEB24-2100-C,0.0943,2302.8,5968328329,1706969655353,0.64878,-1.22474,0.76109,0.001,0.89928,0.0,0.0,,,,week
1.0,9.0,41.07,41.37,ETH-16FEB24,2309.11,41.0,0.0,0.0038,0.0039,135.0,0.0495,0.0001,0.0039,"[[0.0039, 9.0], [0.004, 184.0], [0.0042, 94.0], [0.0045, 11.0], [0.0055, 2025.0], [0.008, 1.0], [0.013, 200.0]]","[[0.0038, 1.0], [0.0037, 1.0], [0.0036, 36.0], [0.0035, 228.0], [0.0033, 476.0], [0.003, 16.0], [0.0029, 14.0], [0.0022, 674.0]]",0.003745,ETH-16FEB24-2100-P,0.0038,2302.8,5968329300,1706969655354,-0.08423,-1.22474,0.76109,0.001,-0.10072,2858.02,263.0,-15.2174,0.0039,0.005,week
4.0,480.0,33.6,45.58,ETH-16FEB24,2309.11,37.63,0.0,0.055,0.062,706.0,0.1195,0.0425,0.0565,"[[0.062, 480.0], [0.0625, 480.0]]","[[0.055, 4.0]]",0.061044,ETH-16FEB24-2200-C,0.0572,2302.8,5968327744,1706969655353,0.57072,-1.9565,1.32466,0.00189,0.76534,0.0,0.0,,,,week
492.0,34.0,36.77,38.51,ETH-16FEB24,2309.12,37.63,0.0,0.0095,0.0105,577.0,0.07,0.0001,0.01,"[[0.0105, 34.0], [0.011, 864.0], [0.013, 573.0], [0.015, 110.0], [0.03, 1.0]]","[[0.0095, 492.0], [0.009, 597.0], [0.008, 577.0], [0.0065, 5.0], [0.006, 4.0]]",0.009994,ETH-16FEB24-2200-P,0.01,2302.79,5968328145,1706969656361,-0.19718,-1.95645,1.32461,0.00189,-0.23464,70546.79,2643.0,-25.9259,0.0095,0.0135,week
588.0,828.0,35.6,38.97,ETH-16FEB24,2309.12,37.21,0.0,0.0285,0.031,1187.0,0.0955,0.015,0.0345,"[[0.031, 828.0], [0.0325, 480.0], [0.095, 30.0]]","[[0.0285, 588.0], [0.0205, 1.0], [0.02, 1.0], [0.011, 5.0]]",0.032426,ETH-16FEB24-2300-C,0.0297,2302.79,5968325728,1706969656361,0.4085,-2.50298,1.71386,0.00247,0.53653,188077.41,2573.0,15.0,0.029,0.036,week
