best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period
39.0,28.0,19.89,22.55,SYN.ETH-4FEB24,2303.5341,21.18,0.0,0.0007,0.001,126.0,0.0225,0.0001,0.0009,"[[0.001, 28.0], [0.0011, 459.0], [0.0012, 92.0], [0.0013, 326.0], [0.0014, 147.0], [0.009, 6.0]]","[[0.0007, 39.0], [0.0006, 6.0], [0.0002, 191.0], [0.0001, 434.0]]",0.002356,ETH-4FEB24-2325-C,0.0008,2302.94,5968328868,1706969615074,0.00774,-1.93701,0.2591,0.01137,0.16657,36757.62,4246.0,-75.6757,0.0009,0.0065,day
81.0,56.0,0.0,27.84,SYN.ETH-4FEB24,2303.5341,21.18,0.0,0.008,0.011,823.0,0.041,0.0001,0.008,"[[0.011, 56.0], [0.0115, 25.0], [0.0125, 480.0], [0.02, 3.0], [0.05, 3.0]]","[[0.008, 81.0], [0.0075, 54.0]]",0.006901,ETH-4FEB24-2325-P,0.0102,2302.94,5968328164,1706969615074,-0.03941,-2.74356,0.2591,0.01137,-0.83343,31209.74,1267.0,-42.8571,0.0047,0.016,day
82.0,79.0,25.69,31.26,SYN.ETH-4FEB24,2303.5141,28.44,0.0,0.0002,0.0005,387.0,0.018,0.0001,0.0005,"[[0.0005, 79.0], [0.0006, 542.0], [0.0007, 2.0], [0.0015, 693.0], [0.02, 2.0]]","[[0.0002, 82.0], [0.0001, 39.0]]",0.000598,ETH-4FEB24-2350-C,0.0003,2303.01,5968324914,1706969616080,0.00279,-0.76075,0.12382,0.00405,0.06015,7175.12,1517.0,-73.6842,0.0005,0.0033,day
3.0,0.0,0.0,0.0,SYN.ETH-4FEB24,2303.5141,28.44,0.0,0.0018,0.0,0.0,0.0525,0.0001,,[],"[[0.0018, 3.0], [0.0011, 50.0]]",0.015945,ETH-4FEB24-2350-P,0.0205,2303.01,5968328654,1706969616080,-0.04487,-1.76069,0.12382,0.00405,-0.93985,0.0,0.0,,,,day
139.0,113.0,36.35,39.11,SYN.ETH-4FEB24,2303.5141,37.69,0.0,0.0002,0.0003,115.0,0.0165,0.0001,0.0002,"[[0.0003, 113.0], [0.0004, 720.0]]","[[0.0002, 139.0], [0.0001, 210.0]]",0.000291,ETH-4FEB24-2375-C,0.0002,2303.01,5968328255,1706969616080,0.0017,-0.56613,0.08309,0.00205,0.03657,673.34,315.0,-81.8182,0.0002,0.0014,day
3.0,0.0,0.0,0.0,SYN.ETH-4FEB24,2303.5141,37.69,0.0,0.011,0.0,0.0,0.064,0.0022,0.0293,[],"[[0.011, 3.0]]",0.02644,ETH-4FEB24-2375-P,0.0313,2303.01,5968312706,1706969616080,-0.04647,-1.56596,0.08309,0.00205,-0.96343,0.0,0.0,,,,day
201.0,720.0,41.83,52.39,SYN.ETH-4FEB24,2303.5141,47.07,0.0,0.0001,0.0004,30.0,0.016,0.0001,0.0004,"[[0.0004, 720.0], [0.0005, 360.0], [0.001, 720.0]]","[[0.0001, 201.0]]",0.00022,ETH-4FEB24-2400-C,0.0002,2303.01,5968326771,1706969616080,0.00126,-0.50216,0.0649,0.00128,0.02712,57.62,63.0,0.0,0.0004,0.0004,day
24.0,24.0,0.0,65.32,SYN.ETH-4FEB24,2303.5141,47.07,0.0,0.0415,0.043,0.0,0.076,0.012,,"[[0.043, 24.0]]","[[0.0415, 24.0], [0.0225, 3.0]]",0.03717,ETH-4FEB24-2400-P,0.0421,2303.01,5968328337,1706969616080,-0.04742,-1.52756,0.0649,0.00128,-0.97288,0.0,0.0,,,,day
18.0,20.0,59.4,78.5,SYN.ETH-4FEB24,2303.5841,60.08,0.0,0.0001,0.0006,76.0,0.015,0.0001,0.0008,"[[0.0006, 20.0]]","[[0.0001, 18.0]]",0.000218,ETH-4FEB24-2450-C,0.0001,2303.02,5968318056,1706969618094,0.00055,-0.2512,0.03189,0.00049,0.01178,0.0,0.0,,,,day
10.0,0.0,0.0,0.0,SYN.ETH-4FEB24,2303.5841,60.08,0.0,0.0005,0.0,0.0,0.099,0.033,,[],"[[0.0005, 10.0]]",0.058771,ETH-4FEB24-2450-P,0.0637,2303.02,5968315491,1706969618094,-0.04914,-0.95804,0.03189,0.00049,-0.98822,0.0,0.0,,,,day
