,index,best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Expiration_Date,Time to Expiration,Implied Volatility,SMA Volatility,BS Price,BS Price_1,Market Price,Calculated_BS_Price,Error,Optimized_BS_Price,Residual,gross_profit_loss,management_fee,incentive_fee,net_profit_loss,Ending_Net_Asset_Value,Monthly_Rate_of_Return,Unrealized_Gain_Loss,Change_in_Open_Trade_Equity,Net_Performance_wo_Fees,Net_Performance,Additions_Withdrawals,Additions,Withdrawals,VAMI
10,11,0.0,10.0,0.0,105.89,SYN.BTC-4FEB24,43046.6283,54.49,0.0,0.0,0.0029,0.0,0.5,0.0001,,"[[0.0029, 10.0]]",[],0.0001308,BTC-4FEB24-40750-P,0.0001,43038.71,20963040296,1706969373787,-0.01103,-4.63605,0.62735,3e-05,-0.01247,0.0,0.0,,,,day,2024-02-04,40750,2024-02-04,0.0027397260273972,0.52945,,2309.24409914633,,0.0001,2307.066375281684,2307.0662752816834,2297.7447230626203,2297.74462306262,2307.066275281684,46.14132750563368,461.41325505633677,1799.5116927197132,1001799.5116927198,0.0017995116927197131,-2297.74462306262,0.0,1799.5116927197132,1291.9571101577428,507.55458256202405,507.55458256202405,0.0,1024595.1284073972
11,12,0.0,15.9,0.0,92.64,SYN.BTC-4FEB24,43046.6283,53.14,0.0,0.0,0.05,0.0,0.5475,0.0001,,"[[0.05, 15.9], [0.0655, 10.0]]",[],0.04801668,BTC-4FEB24-41000-C,0.0477,43038.71,20963040333,1706969373787,0.81655,-25.50049,0.95981,5e-05,0.97951,0.0,0.0,,,,day,2024-02-04,41000,2024-02-04,0.0027397260273972,0.4632,,2057.261479700195,,0.0001,2055.066298300844,2055.066198300844,2047.7515722838648,2047.7514722838653,2055.066198300844,41.10132596601689,411.01323966016884,1602.9516326746582,1001602.9516326747,0.0016029516326746581,-2047.7514722838648,249.9931507787553,1852.9447834534135,1400.830217827228,202.12141484743915,202.12141484743915,0.0,1026237.5048413085
12,13,4.7,6.0,48.69,57.6,SYN.BTC-4FEB24,43045.8713,53.14,0.0,0.0001,0.0003,52.9,0.5,0.0001,0.0004,"[[0.0003, 6.0], [0.0004, 46.0], [0.001, 53.0], [0.0036, 10.0]]","[[0.0001, 4.7]]",0.0002185,BTC-4FEB24-41000-P,0.0002,43038.59,20963042959,1706969374795,-0.01815,-7.8669,0.96135,5e-05,-0.02053,0.0,0.0,,,,day,2024-02-04,41000,2024-02-04,0.0027397260273972,0.53145,,2066.901712717583,,0.0004,2064.747627047844,2064.747227047844,2046.9945722838677,2046.994172283868,2064.7472270478443,41.294952540956885,412.94944540956885,1610.5028290973185,1001610.5028290973,0.0016105028290973186,-2046.9941722838678,0.7572999999970307,1611.2601290973155,1157.0157311467897,453.4870979505381,453.4870979505381,0.0,1027890.2632461812
13,14,0.0,10.0,0.0,209.78,SYN.BTC-4FEB24,43045.8713,43.27,0.0,0.0,0.0615,0.0,0.5415,0.0001,,"[[0.0615, 10.0]]",[],0.04215016,BTC-4FEB24-41250-C,0.0418,43038.59,20963040457,1706969374794,0.82725,-15.15964,0.70064,4e-05,0.98582,0.0,0.0,,,,day,2024-02-04,41250,2024-02-04,0.0027397260273972,1.0489,,2087.504683038624,,0.0004,2085.757204780184,2085.756804780184,1797.0014215051124,1797.0010215051125,2085.756804780184,41.715144095603684,417.15136095603685,1626.8902997285438,1001626.8902997285,0.0016268902997285438,-1797.0010215051125,249.9931507787553,1876.8834505072991,1418.0169454556585,208.87335427283097,208.87335427283097,0.0,1029562.5279446418
14,15,0.0,10.0,0.0,103.62,SYN.BTC-4FEB24,43045.8713,43.27,0.0,0.0,0.0045,0.0,0.5,0.0001,,"[[0.0045, 10.0]]",[],0.0001581,BTC-4FEB24-41250-P,0.0001,43038.59,20963040507,1706969374794,-0.01251,-4.22408,0.70064,4e-05,-0.01418,0.0,0.0,,,,day,2024-02-04,41250,2024-02-04,0.0027397260273972,0.5181,,1826.3954850714945,,0.0004,1824.2697811183607,1824.2693811183608,1797.0014215051124,1797.0010215051125,1824.2693811183608,36.485395622367214,364.85387622367216,1422.9301092723215,1001422.9301092724,0.0014229301092723214,-1797.0010215051125,0.0,1422.9301092723215,1021.5908374262822,401.33927184607955,401.33927184607955,0.0,1031027.5234650327
15,16,23.6,21.3,0.0,77.2,SYN.BTC-4FEB24,43045.8713,43.02,0.0,0.0355,0.0385,0.1,0.536,0.0001,0.0215,"[[0.0385, 21.3], [0.057, 10.0]]","[[0.0355, 23.6], [0.015, 1.0]]",0.0364054,BTC-4FEB24-41500-C,0.0361,43038.59,20963042793,1706969374795,0.81913,-27.73105,1.28922,8e-05,0.97088,0.0,0.0,,,,day,2024-02-04,41500,2024-02-04,0.0027397260273972,0.386,,1559.9454208080715,,0.0215,1557.7529582981078,1557.7314582981078,1547.0082707263573,1546.9867707263572,1557.7314582981078,31.155059165962157,311.5462916596216,1215.030107472524,1001215.0301074726,0.001215030107472524,-1546.9867707263572,250.01425077875524,1465.0443582512792,1122.3430074256953,92.68710004686227,92.68710004686227,0.0,1032280.2529476755
16,17,4.8,19.0,38.04,48.01,SYN.BTC-4FEB24,43045.8713,43.02,0.0,0.0001,0.0004,129.0,0.5,0.0001,0.0001,"[[0.0004, 19.0], [0.0007, 4.0], [0.002, 1.0], [0.006, 10.0], [0.0185, 3.0]]","[[0.0001, 4.8]]",0.00021944,BTC-4FEB24-41500-P,0.0002,43038.59,20963042347,1706969374794,-0.02571,-9.44767,1.28922,8e-05,-0.02912,111.27,21.7,-66.6667,0.0001,0.0003,day,2024-02-04,41500,2024-02-04,0.0027397260273972,0.4302499999999999,,1568.9241369102674,,0.0001,1566.7713554190414,1566.7712554190414,1547.0082707263573,1547.008170726357,1566.7712554190414,31.335427108380827,313.3542510838083,1222.0815772268522,1001222.0815772269,0.0012220815772268523,-1547.0081707263573,-0.02140000000008513,1222.0601772268521,877.370499034663,344.71107819220583,344.71107819220583,0.0,1033541.7836273379
17,18,0.0,10.0,0.0,202.92,SYN.BTC-4FEB24,43045.8713,34.38,0.0,0.0,0.053,0.0,0.53,0.0001,0.027,"[[0.053, 10.0]]",[],0.03069278,BTC-4FEB24-41750-C,0.0302,43038.59,20963043025,1706969374794,0.82882,-18.82587,1.09511,8e-05,0.97605,0.0,0.0,,,,day,2024-02-04,41750,2024-02-04,0.0027397260273972,1.0146,,1692.4645560436948,,0.027,1690.843369061291,1690.816369061291,1297.015119947595,1296.988119947595,1690.816369061291,33.81686738122582,338.16327381225824,1318.8362278678069,1001318.8362278678,0.001318836227867807,-1296.988119947595,250.02005077876242,1568.8562786465693,1196.8761374530852,121.96009041466709,121.96009041466709,0.0,1034904.8559746007
18,19,0.0,10.0,0.0,102.87,SYN.BTC-4FEB24,43045.8713,34.38,0.0,0.0,0.007,0.0,0.5,0.0001,,"[[0.007, 10.0]]",[],0.00031293,BTC-4FEB24-41750-P,0.0001,43038.59,20963040666,1706969374794,-0.02111,-6.04184,1.09511,8e-05,-0.02395,0.0,0.0,,,,day,2024-02-04,41750,2024-02-04,0.0027397260273972,0.51435,,1370.8484997097912,,0.027,1368.859958705012,1368.832958705012,1297.015119947595,1296.988119947595,1368.832958705012,27.37719917410024,273.7665917410024,1067.6891677899093,1001067.6891677899,0.0010676891677899093,-1296.988119947595,0.0,1067.6891677899093,766.5453768748067,301.14379091507533,301.14379091507533,0.0,1036009.8126790179
19,20,8.0,1.0,0.0,51.45,SYN.BTC-4FEB24,43045.8713,29.07,0.0,0.024,0.026,28.6,0.524,0.0001,0.029,"[[0.026, 1.0], [0.0265, 0.2], [0.035, 1.0], [0.0495, 10.0]]","[[0.024, 8.0], [0.0225, 1.0], [0.022, 1.0]]",0.02491075,BTC-4FEB24-42000-C,0.0244,43038.59,20963042701,1706969374794,0.82866,-19.16818,1.31879,0.00012,0.97007,1255.4,1.0,0.0,0.029,0.029,day,2024-02-04,42000,2024-02-04,0.0027397260273972,0.25725,,1055.7334725133478,,0.029,1053.5109329806585,1053.4819329806585,1047.02196916884,1046.99296916884,1053.4819329806585,21.07021865961317,210.6963865961317,821.7153277249137,1000821.7153277249,0.0008217153277249137,-1046.99296916884,249.9951507787548,1071.7104785036686,839.9438732479236,-18.228545522992817,0.0,18.228545522992817,1036861.1178217698
