	best_bid_amount	best_ask_amount	bid_iv	ask_iv	underlying_index	underlying_price	mark_iv	best_bid_price	best_ask_price	open_interest	max_price	min_price	last_price	asks	bids	settlement_price	instrument_name	mark_price	index_price	change_id	timestamp	greeks.rho	greeks.theta	greeks.vega	greeks.gamma	greeks.delta	stats.volume_usd	stats.volume	stats.price_change	stats.low	stats.high	settlement_period	Expiration Date	Strike Price
0	0	0	0	0	BTC-3MAY24	59330.12	100	0	0	125	0.491	0.298	0.385	[]	[]	0.39044737	BTC-3MAY24-35000-C	0.4101	59424.86	23395508824	1.7147E+12	0.67656	0	0	0	1	402682.41	18	0	0.385	0.385	week	3-May-24	35000
2	0	0	0	0	BTC-3MAY24	59329.29	100	0	0	31	0.4185	0.1975	0.28	[]	[]	0.30336843	BTC-3MAY24-40000-C	0.3258	59424.86	23395508310	1.7147E+12	0.77321	0	0	0	1	277903.56	16	-6.6667	0.28	0.3	week	3-May-24	40000
3	0	13.4	0	513.66	BTC-3MAY24	59329.29	100	0	0.0001	10.4	0.015	0.0001	0.0001	"[[0.0001, 13.4]]"	[]	0	BTC-3MAY24-40000-P	0	59424.45	23399861386	1.7147E+12	0	0	0	0	0	40.17	6.8	0	0.0001	0.0001	week	3-May-24	40000
4	0	10	0	465.65	BTC-3MAY24	59327.17	100	0	0.2425	35	0.346	0.0975	0.2	"[[0.2425, 10.0], [0.26, 10.0]]"	[]	0.21628949	BTC-3MAY24-45000-C	0.2415	59422.69	23400032019	1.7147E+12	0.32277	0	0	0	1	209329.77	24	146.9136	0.081	0.2	week	3-May-24	45000
5	0	10	0	0	BTC-3MAY24	59327.17	100	0	0.0001	10	0.015	0.0001	0.0022	"[[0.0001, 10.0]]"	[]	2.00E-08	BTC-3MAY24-45000-P	0	59422.69	23399890696	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	45000
6	0	70	0	328.21	BTC-3MAY24	59327.17	7.35	0	0.1585	314.9	0.273	0.0001	0.13	"[[0.1585, 70.0]]"	[]	0.12927338	BTC-3MAY24-50000-C	0.1572	59422.69	23400033260	1.7147E+12	0.35769	0	0	0	1	105943.82	14	0	0.13	0.13	week	3-May-24	50000
7	0	19.2	0	237.81	BTC-3MAY24	59324.42	7.9	0	0.0001	626.3	0.015	0.0001	0.0001	"[[0.0001, 19.2]]"	[]	6.49E-05	BTC-3MAY24-50000-P	0	59420.17	23399818359	1.7147E+12	0	0	0	0	0	259.09	19	-66.6667	0.0001	0.0003	week	3-May-24	50000
8	0	10	999	0	BTC-3MAY24	59324.42	7.9	0	0.0001	10	0.2005	0.0001	0.1955	"[[0.0001, 10.0]]"	[]	0.04414785	BTC-3MAY24-55000-C	0.0729	59420.17	23399124017	1.7147E+12	0.51484	0	0	0	1	12115402.31	1650	357.8454	0.0427	0.1955	week	3-May-24	55000
9	0	10	0	134.05	BTC-3MAY24	59323.3	7.82	0	0.0003	3	0.1035	0.0001	0.002	"[[0.0003, 10.0], [0.0022, 0.1]]"	[]	0.00208345	BTC-3MAY24-55000-P	0	59419.09	23399457846	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	55000
10	1	70	0	140.02	BTC-3MAY24	59323.3	7.82	0.056	0.057	46.1	0.186	0.0001	0.035	"[[0.057, 70.0], [0.061, 10.0]]"	"[[0.056, 1.0]]"	0.02971375	BTC-3MAY24-56000-C	0.056	59419.09	23400032522	1.7147E+12	0.40167	0	0	0	1	393.54	0.2	6.0606	0.033	0.035	week	3-May-24	56000
11	5.4	10	93.05	109.44	BTC-3MAY24	59323.3	7.82	0.0001	0.0003	1127.4	0.1235	0.0001	0.0001	"[[0.0003, 10.0]]"	"[[0.0001, 5.4]]"	0.00499415	BTC-3MAY24-56000-P	0	59419.09	23399928096	1.7147E+12	0	0	0	0	0	975.3	14.8	-93.75	0.0001	0.0016	week	3-May-24	56000
12	0.1	70.2	0	113.76	BTC-3MAY24	59323.93	7.76	0.039	0.0405	104.6	0.1715	0.0001	0.0245	"[[0.0405, 70.2], [0.047, 10.0]]"	"[[0.039, 0.1]]"	0.01786086	BTC-3MAY24-57000-C	0.0392	59419.69	23400032017	1.7147E+12	0.40885	0	0	0	1	29522.92	28.6	53.125	0.0155	0.0245	week	3-May-24	57000
13	1.9	2.8	69.15	82.38	BTC-3MAY24	59323.93	7.76	0.0001	0.0003	365.7	0.1435	0.0001	0.0001	"[[0.0003, 2.8], [0.0009, 10.0], [0.0015, 1.0]]"	"[[0.0001, 1.9]]"	0.0105986	BTC-3MAY24-57000-P	0	59419.69	23400031610	1.7147E+12	0	0	0	0	0	12419.45	35.6	-99.2	0.0001	0.0125	week	3-May-24	57000
14	3.9	70.2	0	89.37	BTC-3MAY24	59323.61	7.7	0.022	0.024	250.6	0.157	0.0001	0.008	"[[0.024, 70.2], [0.0345, 10.0]]"	"[[0.022, 3.9]]"	0.00774796	BTC-3MAY24-58000-C	0.0223	59419.37	23400033483	1.7147E+12	0.41492	0	0	0	1	7472.47	17	6.6667	0.0075	0.008	week	3-May-24	58000
15	2	1.9	55.1	62.97	BTC-3MAY24	59323.61	7.7	0.0003	0.0007	612.7	0.1635	0.0001	0.0024	"[[0.0007, 1.9], [0.003, 10.0]]"	"[[0.0003, 2.0]]"	0.01790752	BTC-3MAY24-58000-P	0	59419.37	23400030910	1.7147E+12	0	0	0	0	0	80966.49	346.7	-89.0909	0.0013	0.022	week	3-May-24	58000
16	0	0	0	0	BTC-3MAY24	59323.61	7.7	0	0	0	0.5135	0.0001		[]	[]		BTC-3MAY24-58500-C	0.0139	59419.37	0	1.7147E+12	0.53091	0	0	0	1	0	0				week	3-May-24	58500
17	0	0	0	0	BTC-3MAY24	59326.07	7.66	0	0	0	0.5	0.0001		[]	[]		BTC-3MAY24-58500-P	0	59421.82	0	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	58500
18	0	3.3	0	0	BTC-3MAY24	59326.07	7.66	0	0.0001	406.9	0.1425	0.0001	0.0036	"[[0.0001, 3.3], [0.009, 23.3], [0.024, 10.0]]"	[]	0.0030974	BTC-3MAY24-59000-C	0.0055	59421.82	23400033481	1.7147E+12	0.42055	-0.65101	0.1699	9.00E-05	0.99643	282620.56	775.9	33.3333	0.0024	0.0095	week	3-May-24	59000
19	0	16.3	0	53.81	BTC-3MAY24	59326.07	7.66	0	0.0035	775.9	0.1835	0.0001	0.007	"[[0.0035, 16.3], [0.0085, 10.0]]"	[]	0.03062898	BTC-3MAY24-59000-P	0	59421.82	23400029697	1.7147E+12	-0.00154	-0.1442	0.17177	9.00E-05	-0.00361	57403.84	150.4	16.6667	0.0058	0.0075	week	3-May-24	59000
20	0	0	0	0	BTC-3MAY24	59324.88	7.62	0	0	0	0.5	0.0001		[]	[]		BTC-3MAY24-59500-C	0.0001	59420.77	0	1.7147E+12	0.0543	-6.60416	3.15412	0.00129	0.10034	0	0				week	3-May-24	59500
21	0	0	0	0	BTC-3MAY24	59324.88	7.62	0	0	0	0.503	0.0001		[]	[]		BTC-3MAY24-59500-P	0.003	59420.77	0	1.7147E+12	-0.48908	-12.01003	3.15412	0.00129	-0.89966	0	0				week	3-May-24	59500
22	1.4	14	48.81	54.04	BTC-3MAY24	59324.62	24.09	0.0015	0.0018	308.6	0.128	0.0001	0.001	"[[0.0018, 14.0], [0.009, 10.0]]"	"[[0.0015, 1.4]]"	0.00119815	BTC-3MAY24-60000-C	0.0001	59420.57	23400033651	1.7147E+12	0.01682	-6.12265	1.36024	0.00022	0.03974	11894.85	160.7	-9.0909	0.001	0.0035	week	3-May-24	60000
23	6.4	70	36.77	90.93	BTC-3MAY24	59324.62	24.09	0.0115	0.0165	1005	0.204	0.0001	0.0178	"[[0.0165, 70.0], [0.021, 10.0]]"	"[[0.0115, 6.4]]"	0.04613375	BTC-3MAY24-60000-P	0.0115	59420.57	23400031288	1.7147E+12	-0.41341	-16.47346	1.36763	0.00022	-0.96005	162598.42	150	0	0.0177	0.0192	week	3-May-24	60000
24	2	10	56.69	130.88	BTC-3MAY24	59324.62	53.62	0.0002	0.0042	283.7	0.1135	0.0001	0.0009	"[[0.0042, 10.0]]"	"[[0.0002, 2.0], [0.0001, 1.8]]"	0.00049414	BTC-3MAY24-61000-C	0.0001	59420.57	23400033385	1.7147E+12	0.01119	-8.5583	0.97438	7.00E-05	0.02652	5865.5	67.9	-35.7143	0.0003	0.0055	week	3-May-24	61000
25	0	0.8	0	85.49	BTC-3MAY24	59324.26	53.63	0	0.03	420.1	0.224	0.0001	0.0365	"[[0.03, 0.8], [0.033, 10.0]]"	[]	0.06284699	BTC-3MAY24-61000-P	0.0284	59420.26	23400033477	1.7147E+12	-0.42519	-26.11782	0.974	7.00E-05	-0.97349	12918.76	5.9	-47.482	0.0365	0.0695	week	3-May-24	61000
26	1.8	10	74.07	137.53	BTC-3MAY24	59324.26	74.05	0.0001	0.0021	555	0.1	0.0001	0.0003	"[[0.0021, 10.0]]"	"[[0.0001, 1.8]]"	0.0003563	BTC-3MAY24-62000-C	0.0001	59420.26	23399981464	1.7147E+12	0.00613	-5.92307	0.58061	3.00E-05	0.01422	1846.77	60.6	200	0.0001	0.0029	week	3-May-24	62000
27	61.8	80.2	0	142.73	BTC-3MAY24	59324.26	74.05	0.045	0.0475	350.3	0.244	0.0001	0.058	"[[0.0475, 80.2]]"	"[[0.045, 61.8]]"	0.0801208	BTC-3MAY24-62000-P	0.0452	59420.26	23400033753	1.7147E+12	-0.43793	-20.04707	0.54146	3.00E-05	-0.98671	11942.86	3.5	0	0.058	0.058	week	3-May-24	62000
28	43.8	10	97.64	143.28	BTC-3MAY24	59324.36	97.62	0.0001	0.0009	20.3	0.0895	0.0001	0.0001	"[[0.0009, 10.0], [0.57, 0.1]]"	"[[0.0001, 43.8]]"	0.00018184	BTC-3MAY24-63000-C	0.0001	59420.39	23400020814	1.7147E+12	0.00474	-5.92314	0.46838	2.00E-05	0.01121	493.89	18.3	0	0.0001	0.0014	week	3-May-24	63000
29	0	10.4	0	144.93	BTC-3MAY24	59324.36	97.62	0	0.063	661.8	0.264	0.0001	0.098	"[[0.063, 10.4], [0.066, 1.0]]"	[]	0.09735993	BTC-3MAY24-63000-P	0.0621	59420.39	23400032892	1.7147E+12	-0.44605	-22.4836	0.46063	2.00E-05	-0.98897	0	0				week	3-May-24	63000
30	0	1	0	114.32	BTC-3MAY24	59325.39	100	0	0.0001	167.4	0.078	0.0001	0.0001	"[[0.0001, 1.0], [0.0005, 10.0]]"	[]	0.00010001	BTC-3MAY24-64000-C	0	59421.45	23399819887	1.7147E+12	0.00164	-1.79331	0.17722	1.00E-05	0.00355	204.91	10.1	-66.6667	0.0001	0.0006	week	3-May-24	64000
31	0	10	0	178.91	BTC-3MAY24	59325.39	100	0	0.0795	593.1	0.284	0.0001	0.1155	"[[0.0795, 10.0], [0.08, 3.5]]"	[]	0.1147017	BTC-3MAY24-64000-P	0.0788	59421.45	23400031609	1.7147E+12	-0.45804	-5.96852	0.11937	0	-0.99759	0	0				week	3-May-24	64000
32	0	0.9	0	151.77	BTC-3MAY24	59325.39	100	0	0.0001	74.9	0.0665	0.0001	0.0001	"[[0.0001, 0.9], [0.0003, 9.8]]"	[]	0.00010001	BTC-3MAY24-65000-C	0	59421.45	23399962152	1.7147E+12	0.00017	-0.16582	0.02325	0	0.0004	124.19	15.7	-50	0.0001	0.0013	week	3-May-24	65000
33	0	10	0	193.23	BTC-3MAY24	59325.16	100	0	0.096	608.8	0.304	0.0001	0.133	"[[0.096, 10.0], [0.098, 70.0]]"	[]	0.13212154	BTC-3MAY24-65000-P	0.0957	59421.32	23400032521	1.7147E+12	-0.46609	-0.98684	0.01974	0	-0.99966	0	0				week	3-May-24	65000
34	0	0.9	0	153.98	BTC-3MAY24	59325.16	100	0	0.0001	282	0.0565	0.0001	0.0001	"[[0.0001, 0.9], [0.0002, 10.0], [0.0007, 0.1], [0.012, 0.1]]"	[]	7.38E-05	BTC-3MAY24-66000-C	0	59421.32	23399824915	1.7147E+12	3.00E-05	-0.02942	0.00505	0	8.00E-05	9.51	1.6	0	0.0001	0.0001	week	3-May-24	66000
35	48.8	69	0	273.48	BTC-3MAY24	59325.16	100	0.1125	0.115	777.3	0.324	0.0001	0.1155	"[[0.115, 69.0]]"	"[[0.1125, 48.8]]"	0.14950965	BTC-3MAY24-66000-P	0.1125	59421.32	23400033482	1.7147E+12	-0.47213	-0.11824	0.00236	0	-0.99996	87647.96	12	-8.3333	0.112	0.126	week	3-May-24	66000
36	0	19	0	198.76	BTC-3MAY24	59333.73	100	0	0.0002	167.1	0.047	0.0001	0.0001	"[[0.0002, 19.0], [0.0003, 10.0]]"	[]	2.88E-05	BTC-3MAY24-67000-C	0	59429.98	23399835145	1.7147E+12	0	-0.00252	0.00056	0	1.00E-05	0	0				week	3-May-24	67000
37	0	7.2	0	241.39	BTC-3MAY24	59333.73	100	0	0.1295	270.8	0.344	0.0001	0.143	"[[0.1295, 7.2], [0.1315, 70.0]]"	[]	0.1668839	BTC-3MAY24-67000-P	0.1294	59429.98	23400033864	1.7147E+12	-0.4793	-0.01108	0.00022	0	-1	23556.25	2.8	0	0.143	0.143	week	3-May-24	67000
38	0	10	0	212.63	BTC-3MAY24	59335.83	100	0	0.0001	74.2	0.0385	0.0001	0.0001	"[[0.0001, 10.0], [0.0002, 24.0]]"	[]	1.11E-05	BTC-3MAY24-68000-C	0	59432.71	23399928756	1.7147E+12	0	-0.0001	3.00E-05	0	0	6.93	1.2	0	0.0001	0.0001	week	3-May-24	68000
39	0	6.5	0	245.11	BTC-3MAY24	59335.83	100	0	0.1465	324.1	0.364	0.0001	0.1605	"[[0.1465, 6.5], [0.148, 70.0]]"	[]	0.18428312	BTC-3MAY24-68000-P	0.1461	59432.71	23400033965	1.7147E+12	-0.48645	-0.00078	2.00E-05	0	-1	33048.76	3.5	0	0.1605	0.1605	week	3-May-24	68000
40	0	10	0	227.09	BTC-3MAY24	59335.83	100	0	0.0001	56.9	0.0315	0.0001	0.0001	"[[0.0001, 10.0], [0.0002, 25.0]]"	[]	3.77E-06	BTC-3MAY24-69000-C	0	59432.71	23399836575	1.7147E+12	0	-1.00E-05	0	0	0	4.02	0.7	0	0.0001	0.0001	week	3-May-24	69000
41	0	6.8	0	280.23	BTC-3MAY24	59337.62	100	0	0.163	109.6	0.384	0.0025	0.1695	"[[0.163, 6.8], [0.165, 70.0]]"	[]	0.20169269	BTC-3MAY24-69000-P	0.1629	59435.28	23400034397	1.7147E+12	-0.49361	-4.00E-05	0	0	-1	32145.82	3.2	0	0.1695	0.1695	week	3-May-24	69000
42	0	12	0	227.04	BTC-3MAY24	59337.62	100	0	0.0001	230.3	0.025	0.0001	0.0001	"[[0.0001, 12.0]]"	[]	1.39E-06	BTC-3MAY24-70000-C	0	59435.28	23399836581	1.7147E+12	0	0	0	0	0	57.86	10.1	0	0.0001	0.0001	week	3-May-24	70000
43	0	25	0	0	BTC-3MAY24	59337.62	100	0	0.03	391.2	0.404	0.017	0.191	"[[0.03, 25.0], [0.182, 55.0]]"	[]	0.21910631	BTC-3MAY24-70000-P	0.1797	59435.28	23400032032	1.7147E+12	-0.50209	0	0	0	-1	592766.04	50	-11.7783	0.188	0.2165	week	3-May-24	70000
44	0	13.8	0	249.91	BTC-3MAY24	59343.91	100	0	0.0001	641.7	0.0195	0.0001	0.0001	"[[0.0001, 13.8]]"	[]	4.00E-07	BTC-3MAY24-71000-C	0	59441.38	23399939416	1.7147E+12	0	0	0	0	0	2.86	0.5	0	0.0001	0.0001	week	3-May-24	71000
45	0	10	0	349.45	BTC-3MAY24	59343.91	100	0	0.197	144	0.424	0.0315	0.2375	"[[0.197, 10.0], [0.1985, 70.0]]"	[]	0.23652138	BTC-3MAY24-71000-P	0.1965	59441.38	23400034636	1.7147E+12	-0.50927	0	0	0	-1	0	0				week	3-May-24	71000
46	0	3.1	0	281.64	BTC-3MAY24	59345.3	100	0	0.0001	177.9	0.015	0.0001	0.006	"[[0.0001, 3.1], [0.0002, 10.0]]"	[]	1.30E-07	BTC-3MAY24-72000-C	0	59442.97	23399836578	1.7147E+12	0	0	0	0	0	400.15	4.3	5900	0.0001	0.006	week	3-May-24	72000
47	0	10	0	351.95	BTC-3MAY24	59345.3	100	0	0.2135	328.9	0.444	0.046	0.255	"[[0.2135, 10.0], [0.2155, 70.0]]"	[]	0.25393694	BTC-3MAY24-72000-P	0.2133	59442.97	23400034641	1.7147E+12	-0.51507	0	0	0	-1	0	0				week	3-May-24	72000
48	0	3.1	0	299.08	BTC-3MAY24	59345.3	100	0	0.0001	164.7	0.015	0.0001	0.0001	"[[0.0001, 3.1], [0.0003, 10.0]]"	[]	4.00E-08	BTC-3MAY24-73000-C	0	59442.97	23399836580	1.7147E+12	0	0	0	0	0	2.89	0.5	0	0.0001	0.0001	week	3-May-24	73000
49	0	10	0	390.93	BTC-3MAY24	59351.46	100	0	0.2305	530.8	0.464	0.0605	0.15	"[[0.2305, 10.0], [0.2325, 70.0]]"	[]	0.27135266	BTC-3MAY24-73000-P	0.2301	59449.41	23400033958	1.7147E+12	-0.52222	0	0	0	-1	0	0				week	3-May-24	73000
50	0	0.7	0	279.57	BTC-3MAY24	59351.46	100	0	0.0001	1007.1	0.015	0.0001	0.0001	"[[0.0001, 0.7], [0.0003, 10.0]]"	[]	1.00E-08	BTC-3MAY24-74000-C	0	59449.41	23399488062	1.7147E+12	0	0	0	0	0	1.73	0.3	0	0.0001	0.0001	week	3-May-24	74000
51	0	10	0	387.39	BTC-3MAY24	59351.46	100	0	0.2475	359.4	0.484	0.075	0.1655	"[[0.2475, 10.0], [0.249, 70.0]]"	[]	0.28876843	BTC-3MAY24-74000-P	0.2469	59449.41	23400034648	1.7147E+12	-0.52938	0	0	0	-1	0	0				week	3-May-24	74000
52	0	5.7	0	309.02	BTC-3MAY24	59348.16	100	0	0.0001	659.9	0.015	0.0001	0.0001	"[[0.0001, 5.7], [0.0003, 10.0]]"	[]	0	BTC-3MAY24-75000-C	0	59446.79	23399839164	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	75000
53	0	10	0	413.76	BTC-3MAY24	59348.16	100	0	0.264	282.1	0.504	0.0895	0.181	"[[0.264, 10.0], [0.266, 70.0]]"	[]	0.30618421	BTC-3MAY24-75000-P	0.2637	59446.79	23400035044	1.7147E+12	-0.53653	0	0	0	-1	0	0				week	3-May-24	75000
54	0	1.3	0	349.23	BTC-3MAY24	59348.16	100	0	0.0001	728.8	0.015	0.0001	0.0001	"[[0.0001, 1.3], [0.0003, 10.0]]"	[]	0	BTC-3MAY24-76000-C	0	59446.79	23399839163	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	76000
55	0	10	0	396.51	BTC-3MAY24	59347.15	100	0	0.281	240.4	0.5245	0.1045	0.187	"[[0.281, 10.0], [0.2825, 70.0]]"	[]	0.3236	BTC-3MAY24-76000-P	0.2806	59446.25	23400035037	1.7147E+12	-0.54368	0	0	0	-1	0	0				week	3-May-24	76000
56	0	5.1	0	338.86	BTC-3MAY24	59347.15	100	0	0.0001	925.8	0.015	0.0001	0.015	"[[0.0001, 5.1], [0.0004, 10.0]]"	[]	0	BTC-3MAY24-77000-C	0	59446.25	23399815670	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	77000
57	0	10	0	431.86	BTC-3MAY24	59347.15	100	0	0.298	87.8	0.5445	0.119	0.2	"[[0.298, 10.0], [0.299, 70.0]]"	[]	0.34101579	BTC-3MAY24-77000-P	0.2974	59446.25	23400034644	1.7147E+12	-0.55084	0	0	0	-1	0	0				week	3-May-24	77000
58	0	3.1	0	353.83	BTC-3MAY24	59342.12	100	0	0.0001	591.7	0.015	0.0001	0.0001	"[[0.0001, 3.1], [0.0005, 10.0]]"	[]	0	BTC-3MAY24-78000-C	0	59441.7	23399824630	1.7147E+12	0	0	0	0	0	139.25	23.7	0	0.0001	0.0001	week	3-May-24	78000
59	0	10	0	454.18	BTC-3MAY24	59342.12	100	0	0.315	285.2	0.5645	0.1335	0.2185	"[[0.315, 10.0], [0.3155, 70.0]]"	[]	0.35843158	BTC-3MAY24-78000-P	0.3143	59441.7	23400034742	1.7147E+12	-0.55799	0	0	0	-1	0	0				week	3-May-24	78000
60	0	10	0	496.56	BTC-3MAY24	59342.12	100	0	0.0006	50.9	0.015	0.0001	0.0001	"[[0.0006, 10.0]]"	[]	1.40E-07	BTC-3MAY24-79000-C	0	59441.7	23399925526	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	79000
61	0	10	0	526.57	BTC-3MAY24	59343.4	100	0	0.332	0	0.5845	0.148		"[[0.332, 10.0]]"	[]	0.37584754	BTC-3MAY24-79000-P	0.3313	59442.98	23400034635	1.7147E+12	-0.56514	0	0	0	-1	0	0				week	3-May-24	79000
62	0	1.3	0	382.77	BTC-3MAY24	59343.4	100	0	0.0001	1418.1	0.015	0.0001	0.0001	"[[0.0001, 1.3], [0.0008, 10.0]]"	[]	0	BTC-3MAY24-80000-C	0	59442.98	23399815486	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	80000
63	0	70	0	549.96	BTC-3MAY24	59339.75	100	0	0.349	423.3	0.6045	0.1625	0.243	"[[0.349, 70.0]]"	[]	0.39326315	BTC-3MAY24-80000-P	0.3481	59439.49	23400033964	1.7147E+12	-0.5723	0	0	0	-1	0	0				week	3-May-24	80000
64	0	2.3	0	442.79	BTC-3MAY24	59339.75	100	0	0.0001	660.8	0.015	0.0001	0.0001	"[[0.0001, 2.3]]"	[]	0	BTC-3MAY24-82000-C	0	59439.49	23399848181	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	82000
65	0	70	0	418.83	BTC-3MAY24	59337.49	100	0	0.3825	405.3	0.645	0.1915	0.279	"[[0.3825, 70.0]]"	[]	0.42809473	BTC-3MAY24-82000-P	0.3819	59437.16	23400035335	1.7147E+12	-0.58661	0	0	0	-1	0	0				week	3-May-24	82000
66	0	0	0	413.42	BTC-3MAY24	59337.49	100	0	0	0	0.015	0.0001	0.0001	[]	[]	1.00E-07	BTC-3MAY24-85000-C	0	59437.16	23399125574	1.7147E+12	0	0	0	0	0	40.87	7	0	0.0001	0.0001	week	3-May-24	85000
67	0	0	0	0	BTC-3MAY24	59337.49	100	0	0	0	0.705	0.235		[]	[]	0.48034221	BTC-3MAY24-85000-P	0.4324	59437.16	23371629648	1.7147E+12	-6.65788	-0.11496	0.00657	0	-0.99997	0	0				week	3-May-24	85000
68	0	0.6	0	563.23	BTC-3MAY24	59338.14	100	0	0.0001	207.8	0.015	0.0001	0.0003	"[[0.0001, 0.6]]"	[]	0	BTC-3MAY24-90000-C	0	59437.59	23399925527	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	90000
69	0	70	0	0	BTC-3MAY24	59338.14	100	0	0.517	450.8	0.8055	0.308	0.401	"[[0.517, 70.0]]"	[]	0.56742105	BTC-3MAY24-90000-P	0.5167	59437.59	23400035341	1.7147E+12	-0.64384	0	0	0	-1	0	0				week	3-May-24	90000
70	0	0	0	520.44	BTC-3MAY24	59338.14	100	0	0	0	0.015	0.0001		[]	[]	0	BTC-3MAY24-95000-C	0	59437.59	23394525902	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	95000
71	0	0	0	0	BTC-3MAY24	59338.12	100	0	0	0	0.9055	0.3805	0.6195	[]	[]	0.6545	BTC-3MAY24-95000-P	0.601	59437.39	23371629980	1.7147E+12	-7.4413	-0.00034	2.00E-05	0	-1	0	0				week	3-May-24	95000
72	34.6	0	574.97	0	BTC-3MAY24	59338.12	100	0.0001	0	136.3	0.015	0.0001	0.0001	[]	"[[0.0001, 34.6]]"	0	BTC-3MAY24-100000-C	0	59437.39	23399111399	1.7147E+12	0	0	0	0	0	2.37	0.4	0	0.0001	0.0001	week	3-May-24	100000
73	0	70	0	0	BTC-3MAY24	59338.62	100	0	0.6855	420	1.006	0.453	0.561	"[[0.6855, 70.0]]"	[]	0.74157894	BTC-3MAY24-100000-P	0.6853	59437.71	23400035337	1.7147E+12	-0.71537	0	0	0	-1	0	0				week	3-May-24	100000
74	0	0	0	590.03	BTC-3MAY24	59338.62	100	0	0	0	0.015	0.0001		[]	[]	0	BTC-3MAY24-105000-C	0	59437.71	23394525865	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	105000
75	0	0	0	0	BTC-3MAY24	59338.62	100	0	0	0	1.1065	0.5255	0.558	[]	[]	0.82865789	BTC-3MAY24-105000-P	0.7695	59437.71	23371628922	1.7147E+12	-8.2246	0	0	0	-1	0	0				week	3-May-24	105000
76	0	1.9	0	444.78	BTC-3MAY24	59345.57	100	0	0.0001	13	0.015	0.0001	0.015	"[[0.0001, 1.9]]"	[]	0	BTC-3MAY24-110000-C	0	59444.51	23394525866	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	110000
77	0	0	0	0	BTC-3MAY24	59345.57	100	0	0	0	1.2065	0.5985		[]	[]	0.91573684	BTC-3MAY24-110000-P	0.8538	59444.51	23371629143	1.7147E+12	-8.61625	0	0	0	-1	0	0				week	3-May-24	110000
78	66.6	66.6	77.1	141.87	SYN.BTC-4MAY24	59190.6	93.62	0.121	0.1235	0	0.6215	0.0001	0.12	"[[0.1235, 66.6], [0.139, 10.0]]"	"[[0.121, 66.6]]"	0.0973101	BTC-4MAY24-52000-C	0.1216	59444.51	23400035860	1.7147E+12	1.77866	-30.27658	0.81565	1.00E-05	0.99136	70312.54	10.2	9.3892	0.1097	0.1205	day	4-May-24	52000
79	7.4	4.1	87.93	105.41	SYN.BTC-4MAY24	59197.3	93.64	0.0001	0.0004	0.5	0.5	0.0001	0.0006	"[[0.0004, 4.1], [0.0017, 10.0], [0.005, 5.0]]"	"[[0.0001, 7.4]]"	0.00214265	BTC-4MAY24-52000-P	0.0002	59443.46	23399916756	1.7147E+12	-0.01884	-9.91845	0.84551	1.00E-05	-0.00894	35.5	1	0	0.0006	0.0006	day	4-May-24	52000
80	70	70	0	123.47	SYN.BTC-4MAY24	59197.3	93.63	0.1045	0.1065	0	0.605	0.0001		"[[0.1065, 70.0], [0.1235, 10.0]]"	"[[0.1045, 70.0]]"	0.08050962	BTC-4MAY24-53000-C	0.1051	59443.46	23400036134	1.7147E+12	1.78749	-65.02163	1.75149	2.00E-05	0.97906	0	0				day	4-May-24	53000
81	3.3	0.7	88.63	98.75	SYN.BTC-4MAY24	59196.25	93.64	0.0003	0.0006	0	0.5	0.0001	0.0012	"[[0.0006, 0.7], [0.0021, 10.0]]"	"[[0.0003, 3.3]]"	0.00274472	BTC-4MAY24-53000-P	0.0004	59439.18	23400032168	1.7147E+12	-0.0436	-25.60976	1.74743	2.00E-05	-0.02087	631.85	9	0	0.0012	0.0012	day	4-May-24	53000
82	70	70	0	110.53	SYN.BTC-4MAY24	59196.25	85.01	0.0875	0.09	0	0.588	0.0001		"[[0.09, 70.0], [0.108, 10.0]]"	"[[0.0875, 70.0]]"	0.0642542	BTC-4MAY24-54000-C	0.0884	59439.18	23400034258	1.7147E+12	1.80076	-82.33778	2.44304	2.00E-05	0.96884	0	0				day	4-May-24	54000
83	0.1	0.8	79.05	91.12	SYN.BTC-4MAY24	59196.25	85.01	0.0004	0.0009	2.2	0.5005	0.0001	0.0008	"[[0.0009, 0.8], [0.0029, 10.0]]"	"[[0.0004, 0.1]]"	0.0038954	BTC-4MAY24-54000-P	0.0006	59439.18	23400034526	1.7147E+12	-0.06499	-36.5557	2.44304	2.00E-05	-0.03116	837.79	9	-50	0.0008	0.0016	day	4-May-24	54000
