,best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Expiration_Date,Time to Expiration,Implied Volatility,SMA Volatility,BS Price,BS Price_1,Market Price,Theoretical Price,BS Price QuantLib
129,12.5,0.0,0.0,0.0,BTC-27SEP24,45428.04,66.9,0.0,1.55,0.0,12.5,2.1535,1.154,1.5615,[],"[[1.55, 12.5], [0.0001, 1.0]]",1.65243771,BTC-27SEP24-120000-P,1.6538,43044.59,20963043581,1706969586270,-763.44296,-6.36453,45.04335,1e-05,-0.93741,0.0,0.0,,,,month,2024-09-27,120000,2024-09-27,0.39452054794520547,0.0,1.2445133333333334,0.0,2863.5193617347286,1.5615,6.8573873719986125,73622.3129087385
130,0.0,3.5,0.0,499.65,BTC-27DEC24,46179.24,72.96,0.0,0.0,0.992,27.0,1.0,0.285,0.753,"[[0.992, 3.5]]",[],0.78487221,BTC-27DEC24-10000-C,0.7849,43044.59,20962667227,1706969586271,87.01414,-0.73621,6.61397,0.0,0.99474,0.0,0.0,,,,month,2024-12-27,10000,2024-12-27,0.6438356164383562,2.49825,1.3099,40387.08674017855,36947.979793370425,0.753,36307.29951147873,40403.63110441599
131,0.3,4.0,71.92,74.01,BTC-27DEC24,46180.54,72.96,0.0,0.0013,0.0016,25.1,0.501,0.0001,0.0009,"[[0.0016, 4.0], [0.0017, 5.5], [0.0018, 1.0], [0.004, 19.0], [0.0043, 2.0]]","[[0.0013, 0.3], [0.0011, 3.0], [0.001, 5.0], [0.0008, 1.0], [0.0007, 20.0], [0.0004, 25.0], [0.0002, 50.0], [0.0001, 201.0]]",0.0013976,BTC-27DEC24-10000-P,0.0014,43044.55,20963047327,1706969587279,-2.77782,-0.73619,6.61379,0.0,-0.00525,0.0,0.0,,,,month,2024-12-27,10000,2024-12-27,0.6438356164383562,0.72965,1.2422700000000002,36324.250486487,36818.99990796382,0.0009,36308.59947763992,16.081178633853515
132,0.0,2.4,0.0,499.54,BTC-27DEC24,46180.58,65.7,0.0,0.0,0.99,0.0,1.0,0.18,0.8,"[[0.99, 2.4]]",[],0.68031736,BTC-27DEC24-15000-C,0.68,43044.55,20962672983,1706969587278,125.60314,-1.85889,18.54653,0.0,0.98289,0.0,0.0,,,,month,2024-12-27,15000,2024-12-27,0.6438356164383562,2.4977,1.3074750000000002,38574.847204893566,33149.02899477962,0.8,31379.467672767285,38597.9956339322
133,0.1,18.0,61.85,69.56,BTC-27DEC24,46180.54,65.7,0.0,0.0034,0.0065,0.0,0.5045,0.0001,,"[[0.0065, 18.0], [0.007, 13.1]]","[[0.0034, 0.1], [0.0033, 57.0]]",0.00510545,BTC-27DEC24-15000-P,0.0048,43044.55,20963047131,1706969587279,-9.08495,-1.85889,18.54657,0.0,-0.01711,0.0,0.0,,,,month,2024-12-27,15000,2024-12-27,0.6438356164383562,0.65705,1.2372316666666667,31446.373732404485,32871.58272283678,,31379.427720782063,75.00451663853234
134,16.6,1.9,43.48,500.64,BTC-27DEC24,46180.54,59.52,0.0,0.569,0.9885,38.4,1.0,0.078,0.5635,"[[0.9885, 1.9]]","[[0.569, 16.6]]",0.57866663,BTC-27DEC24-20000-C,0.5779,43044.55,20963011235,1706969587279,158.97496,-3.33557,36.73124,0.0,0.96127,0.0,0.0,,,,month,2024-12-27,20000,2024-12-27,0.6438356164383562,2.7206,1.30983,38214.992638370175,29901.616909458884,0.5635,26509.801969100972,38243.78054143263
135,18.0,12.0,58.27,60.79,BTC-27DEC24,46180.54,59.52,0.0,0.01,0.012,62.3,0.5105,0.0001,0.0145,"[[0.012, 12.0], [0.013, 2.1], [0.0155, 18.0]]","[[0.01, 18.0], [0.009, 18.0], [0.0075, 2.0], [0.0002, 2.0]]",0.01171742,BTC-27DEC24-20000-P,0.011,43044.55,20963046982,1706969587279,-20.60914,-3.33557,36.73124,0.0,-0.03873,0.0,0.0,,,,month,2024-12-27,20000,2024-12-27,0.6438356164383562,0.5953,1.2375316666666667,26648.878296583098,29467.662793985277,0.0145,26509.801969100972,214.8386081573927
136,13.9,1.6,52.57,500.23,BTC-27DEC24,46180.55,56.67,0.0,0.4775,0.987,42.1,0.9825,0.0001,0.463,"[[0.987, 1.6]]","[[0.4775, 13.9]]",0.48316869,BTC-27DEC24-25000-C,0.483,43044.56,20963011095,1706969589292,181.61131,-5.57513,64.48671,1e-05,0.92092,0.0,0.0,,,,month,2024-12-27,25000,2024-12-27,0.6438356164383562,2.7640000000000002,1.3113400000000002,37349.57982954911,27107.419612061254,0.463,21839.7018971016,37382.800504704865
137,64.0,1.0,54.99,57.87,BTC-27DEC24,46180.54,56.67,0.0,0.022,0.026,84.8,0.524,0.0001,0.0245,"[[0.026, 1.0], [0.0275, 17.4], [0.0295, 10.0], [0.036, 2.0], [0.0455, 1.0]]","[[0.022, 64.0], [0.02, 2.0], [0.005, 12.5]]",0.02448217,BTC-27DEC24-25000-P,0.0243,43044.56,20963045692,1706969589293,-42.86884,-5.57513,64.48673,1e-05,-0.07908,2640.25,2.5,0.0,0.0245,0.0245,month,2024-12-27,25000,2024-12-27,0.6438356164383562,0.5643,1.2388333333333332,22070.85273369307,26537.594807216406,0.0245,21839.69228717419,575.1500459726166
138,4.0,1.5,38.97,499.08,BTC-27DEC24,46180.54,56.67,0.0,0.368,0.9855,42.3,0.901,0.0001,0.3785,"[[0.9855, 1.5]]","[[0.368, 4.0]]",0.39940023,BTC-27DEC24-30000-C,0.401,43044.56,20963032579,1706969589291,189.53495,-8.49822,98.29762,1e-05,0.85809,0.0,0.0,,,,month,2024-12-27,30000,2024-12-27,0.6438356164383562,2.69025,1.3102049999999998,35929.02518112861,24667.840683847327,0.3785,17554.757942525994,35966.30415192204
139,14.0,28.0,53.74,56.6,BTC-27DEC24,46180.67,56.67,0.0,0.0445,0.0505,74.5,0.5505,0.0001,0.049,"[[0.0505, 28.0], [0.0545, 14.0], [0.075, 2.0]]","[[0.0445, 14.0], [0.044, 14.0], [0.01, 22.0], [0.005, 1000.0]]",0.0489764,BTC-27DEC24-30000-P,0.0506,43044.68,20963047555,1706969590303,-79.83784,-8.49781,98.29573,1e-05,-0.1419,5251.32,2.5,0.0,0.049,0.049,month,2024-12-27,30000,2024-12-27,0.6438356164383562,0.5517,1.2372466666666668,17898.447274169925,23978.365052353798,0.049,17554.875533190087,1341.794151920326
140,4.0,1.5,41.68,499.02,BTC-27DEC24,46180.67,56.67,0.0,0.338,0.985,14.1,0.871,0.0001,0.348,"[[0.985, 1.5]]","[[0.338, 4.0]]",0.36809464,BTC-27DEC24-32000-C,0.3715,43044.68,20963038810,1706969590300,189.8709,-9.59658,111.00535,1e-05,0.82936,0.0,0.0,,,,month,2024-12-27,32000,2024-12-27,0.6438356164383562,2.7034999999999996,1.308925,35648.55580139529,23773.27609819633,0.348,15984.876171693519,35687.24235269157
141,6.0,26.0,53.77,56.08,BTC-27DEC24,46180.67,56.67,0.0,0.0575,0.063,92.0,0.564,0.0001,0.0605,"[[0.063, 26.0], [0.0675, 5.9]]","[[0.0575, 6.0], [0.056, 12.0], [0.0555, 13.0], [0.05, 1.0]]",0.06097589,BTC-27DEC24-32000-P,0.0644,43044.68,20963046551,1706969590301,-97.46365,-9.59658,111.00535,1e-05,-0.17064,41352.81,15.9,-1.626,0.0595,0.0615,month,2024-12-27,32000,2024-12-27,0.6438356164383562,0.54925,1.30143,16376.725294723725,23698.460340790305,0.0605,15984.876171693519,1795.808104666315
142,4.0,1.5,43.43,501.44,BTC-27DEC24,46180.67,56.67,0.0,0.31,0.985,29.5,0.8435,0.0001,0.32,"[[0.985, 1.5]]","[[0.31, 4.0]]",0.33931315,BTC-27DEC24-34000-C,0.3438,43044.75,20963046009,1706969591307,188.8499,-10.61685,122.80995,1e-05,0.79919,0.0,0.0,,,,month,2024-12-27,34000,2024-12-27,0.6438356164383562,2.72435,1.3736716666666666,35441.16320608833,23612.56420293945,0.32,14507.599669221785,35481.15977111761
143,0.1,12.0,54.02,55.53,BTC-27DEC24,46180.67,56.67,0.0,0.073,0.077,133.8,0.58,0.0001,0.076,"[[0.077, 12.0], [0.082, 6.0], [0.099, 1.0]]","[[0.073, 0.1], [0.07, 14.0], [0.0695, 12.0], [0.0685, 6.0]]",0.07549948,BTC-27DEC24-34000-P,0.08,43044.75,20963047400,1706969591307,-116.44306,-10.61685,122.80995,1e-05,-0.20081,74012.88,23.0,2.0134,0.074,0.0765,month,2024-12-27,34000,2024-12-27,0.6438356164383562,0.5477500000000001,1.3007016666666666,14948.673005456942,22850.68226395792,0.076,14507.599669221785,2343.446647411943
144,4.1,12.5,44.7,60.84,BTC-27DEC24,46180.67,56.67,0.0,0.284,0.33,12.7,0.8175,0.0001,0.306,"[[0.33, 12.5], [0.9845, 1.6]]","[[0.284, 4.1]]",0.31275519,BTC-27DEC24-36000-C,0.3179,43044.75,20963045713,1706969591307,186.65472,-11.54276,133.5203,1e-05,0.768,2644.17,0.2,0.0,0.306,0.306,month,2024-12-27,36000,2024-12-27,0.6438356164383562,0.5277000000000001,1.299555,13414.286597940489,22040.993543053013,0.306,13126.912805493535,13427.316805987597
145,6.0,11.0,53.4,55.31,BTC-27DEC24,46181.01,56.66,0.0,0.088,0.0935,167.8,0.597,0.0001,0.0925,"[[0.0935, 11.0], [0.0945, 11.0], [0.0985, 5.9]]","[[0.088, 6.0], [0.0855, 12.0], [0.085, 11.0], [0.08, 1.0], [0.072, 1.0]]",0.09224659,BTC-27DEC24-36000-P,0.0974,43044.99,20963046924,1706969592315,-136.59303,-11.54246,133.51956,1e-05,-0.23199,98052.6,24.8,-1.0695,0.089,0.0935,month,2024-12-27,36000,2024-12-27,0.6438356164383562,0.5435500000000001,1.2650116666666666,13581.365659778727,21661.33088806252,0.0925,13127.185926009282,2951.300830492257
146,1.0,1.6,0.0,500.83,BTC-27DEC24,46180.75,56.66,0.0,0.029,0.984,51.0,0.7935,0.0001,0.7885,"[[0.984, 1.6]]","[[0.029, 1.0], [0.005, 1.0]]",0.28723576,BTC-27DEC24-38000-C,0.2937,43044.99,20963038934,1706969592313,183.46909,-12.36291,143.01034,1e-05,0.73617,138588.43,30.1,201.5296,0.0001,0.7885,month,2024-12-27,38000,2024-12-27,0.6438356164383562,2.50415,1.329395,33104.03131853565,21623.19289338771,0.7885,11844.597383187658,33146.94459043801
147,6.0,6.0,53.24,55.02,BTC-27DEC24,46180.75,56.66,0.0,0.106,0.1115,186.2,0.6165,0.0001,0.111,"[[0.1115, 6.0], [0.1125, 10.0], [0.117, 5.9]]","[[0.106, 6.0], [0.1015, 12.0], [0.101, 10.0], [0.0895, 111.0]]",0.11003224,BTC-27DEC24-38000-P,0.1166,43044.99,20963047540,1706969592313,-157.74069,-12.36291,143.01034,1e-05,-0.26383,114048.71,24.0,-1.7699,0.1075,0.113,month,2024-12-27,38000,2024-12-27,0.6438356164383562,0.5413,1.2561516666666666,12320.21865375528,20787.128067633486,0.111,11844.597383187658,3665.8276696437697
148,2.9,1.0,55.97,57.35,BTC-27DEC24,46180.75,56.66,0.0,0.269,0.2735,49.0,0.771,0.0001,0.268,"[[0.2735, 1.0], [0.28, 1.0], [0.287, 1.0], [0.29, 2.0], [0.2925, 1.0], [0.294, 2.0], [0.296, 2.0]]","[[0.269, 2.9], [0.263, 0.1], [0.2615, 1.0], [0.25, 2.0], [0.24, 1.0], [0.22, 1.0], [0.0005, 250.0]]",0.2643962,BTC-27DEC24-40000-C,0.2713,43044.99,20963047206,1706969592314,179.45772,-13.07201,151.21289,1e-05,0.70404,4622.2,0.4,-0.1862,0.268,0.269,month,2024-12-27,40000,2024-12-27,0.6438356164383562,0.5666,1.2556233333333333,11492.299482658866,20043.98005854494,0.268,10660.336250840686,11508.600676038024
149,6.0,9.0,53.02,54.7,BTC-27DEC24,46180.75,56.66,0.0,0.1255,0.131,476.2,0.637,0.0001,0.131,"[[0.131, 9.0], [0.1315, 6.0], [0.1325, 9.0], [0.138, 6.0]]","[[0.1255, 6.0], [0.1225, 6.0], [0.1205, 12.0], [0.005, 25.0], [0.0005, 250.0]]",0.13049777,BTC-27DEC24-40000-P,0.1374,43044.99,20963046046,1706969592313,-179.71047,-13.07201,151.21289,1e-05,-0.29596,259989.62,46.7,-1.1321,0.1275,0.1325,month,2024-12-27,40000,2024-12-27,0.6438356164383562,0.5386,1.1825866666666667,11141.422087423685,19169.44550426377,0.131,10660.336250840686,4462.266129560326
150,4.2,1.7,46.93,500.04,BTC-27DEC24,46180.75,53.77,0.0,0.217,0.983,50.1,0.7405,0.0001,0.238,"[[0.983, 1.7]]","[[0.217, 4.2]]",0.24334104,BTC-27DEC24-42000-C,0.2405,43044.99,20963045712,1706969592313,178.25859,-12.99468,158.40104,2e-05,0.6704,0.0,0.0,,,,month,2024-12-27,42000,2024-12-27,0.6438356164383562,2.7348500000000002,1.2537,34262.53003144954,19320.108011624805,0.238,9572.382980606897,34307.350480439774
151,6.0,9.0,53.06,54.51,BTC-27DEC24,46182.93,53.78,0.0,0.1475,0.1525,301.8,0.6495,0.0001,0.153,"[[0.1525, 9.0], [0.1535, 6.0], [0.1605, 6.0], [0.19, 1.0]]","[[0.1475, 6.0], [0.1405, 12.0], [0.14, 9.0], [0.1, 1.0]]",0.15274768,BTC-27DEC24-42000-P,0.15,43046.78,20963046008,1706969594329,-198.85644,-12.9952,158.40188,2e-05,-0.32957,168004.04,25.5,-1.2903,0.1515,0.155,month,2024-12-27,42000,2024-12-27,0.6438356164383562,0.5378499999999999,1.235625,10075.559249102818,19099.48589151992,0.153,9573.866611949303,5369.332461466998
152,9.0,3.4,54.24,56.5,BTC-27DEC24,46181.01,53.74,0.0,0.2225,0.2305,40.3,0.7205,0.0001,0.23,"[[0.2305, 3.4], [0.2355, 9.0]]","[[0.2225, 9.0], [0.217, 8.7]]",0.2235356,BTC-27DEC24-44000-C,0.2207,43046.78,20963047541,1706969594326,172.49243,-13.46414,164.22908,2e-05,0.63669,19774.1,2.0,0.0,0.23,0.23,month,2024-12-27,44000,2024-12-27,0.6438356164383562,0.5537000000000001,1.2334183333333333,9322.781870132854,18397.530621051737,0.23,8577.788024963804,9340.196180277477
153,1.0,8.0,53.05,54.45,BTC-27DEC24,46182.93,53.74,0.0,0.171,0.176,246.4,0.673,0.0001,0.1745,"[[0.176, 8.0], [0.177, 6.0], [0.1845, 6.0]]","[[0.171, 1.0], [0.1665, 6.0], [0.1645, 12.0]]",0.17624732,BTC-27DEC24-44000-P,0.1735,43047.94,20963046193,1706969595335,-222.58195,-13.4648,164.23087,2e-05,-0.36328,266319.89,35.0,-2.514,0.1745,0.179,month,2024-12-27,44000,2024-12-27,0.6438356164383562,0.5375,1.2148033333333332,9099.458077325045,18162.787544948136,0.1745,8579.013139545426,6368.16584199838
154,10.0,6.5,53.86,56.74,BTC-27DEC24,46184.17,53.77,0.0,0.203,0.2135,50.8,0.7025,0.0001,0.2125,"[[0.2135, 6.5], [0.218, 10.0]]","[[0.203, 10.0], [0.1995, 10.0]]",0.20523045,BTC-27DEC24-46000-C,0.2027,43047.94,20963047691,1706969595384,166.24506,-13.83631,168.67407,2e-05,0.60357,0.0,0.0,,,,month,2024-12-27,46000,2024-12-27,0.6438356164383562,0.5529999999999999,1.2121383333333333,8433.184031740242,17482.75419216838,0.2125,7673.979175778681,8451.044618099877
155,6.0,7.0,53.17,54.4,BTC-27DEC24,46184.17,53.77,0.0,0.1965,0.201,271.9,0.6985,0.0001,0.2035,"[[0.201, 7.0], [0.2025, 6.0], [0.2105, 6.0]]","[[0.1965, 6.0], [0.1905, 6.0]]",0.20124725,BTC-27DEC24-46000-P,0.1987,43047.94,20963047653,1706969595336,-246.79836,-13.83631,168.67407,2e-05,-0.39643,226765.06,26.0,-0.7317,0.201,0.2055,month,2024-12-27,46000,2024-12-27,0.6438356164383562,0.5378499999999999,1.1597166666666667,8216.504273274571,16796.624506905748,0.2035,7673.979175778681,7458.743069150004
156,10.0,10.0,54.72,56.61,BTC-27DEC24,46184.53,54.03,0.0,0.1895,0.1965,207.2,0.6865,0.0001,0.2005,"[[0.1965, 10.0], [0.4, 2.0]]","[[0.1895, 10.0], [0.1845, 9.9], [0.167, 1.0], [0.0005, 250.0]]",0.18892972,BTC-27DEC24-48000-C,0.1869,43048.27,20963046871,1706969596341,159.56238,-14.15767,171.76619,2e-05,0.57169,52234.27,6.0,0.0,0.2005,0.2005,month,2024-12-27,48000,2024-12-27,0.6438356164383562,0.55665,1.15653,7680.564605369742,16123.949361278628,0.2005,6852.61074230522,7698.826807926101
157,6.0,6.0,53.29,54.77,BTC-27DEC24,46184.17,54.03,0.0,0.2235,0.229,290.1,0.726,0.0001,0.23,"[[0.229, 6.0], [0.2305, 7.0], [0.2385, 6.0]]","[[0.2235, 6.0], [0.217, 13.0], [0.215, 7.0], [0.0005, 250.0]]",0.22825159,BTC-27DEC24-48000-P,0.2263,43048.27,20963047405,1706969596342,-271.44192,-14.1576,171.76532,2e-05,-0.42832,237851.51,24.1,-0.8621,0.227,0.2325,month,2024-12-27,48000,2024-12-27,0.6438356164383562,0.5403,1.17454,7441.782388956719,16365.386423071703,0.23,6852.411187363687,8658.678941652226
158,10.0,5.0,55.35,56.81,BTC-27DEC24,46184.17,54.1,0.0,0.1765,0.182,96.8,0.6715,0.0001,0.181,"[[0.182, 5.0], [0.185, 20.0], [0.21, 2.0], [0.23, 2.0], [0.3, 1.0]]","[[0.1765, 10.0], [0.17, 13.0], [0.1695, 1.0], [0.166, 2.0], [0.1495, 1.0], [0.141, 1.0], [0.14, 1.0], [0.005, 100.0]]",0.18200216,BTC-27DEC24-50000-C,0.1718,43048.27,20963047549,1706969596341,152.85671,-14.33687,173.69414,2e-05,0.54042,38814.39,5.0,0.0,0.181,0.181,month,2024-12-27,50000,2024-12-27,0.6438356164383562,0.5608,1.1709349999999998,7007.184625034268,15721.002860250106,0.181,6109.812694599736,7025.712120414642
159,6.0,6.0,53.45,54.78,BTC-27DEC24,46184.17,54.1,0.0,0.252,0.257,220.2,0.754,0.0001,0.2565,"[[0.257, 6.0], [0.2575, 6.0], [0.268, 6.0]]","[[0.252, 6.0], [0.2445, 6.0], [0.243, 6.0], [0.105, 1.0], [0.1, 1.0]]",0.26462911,BTC-27DEC24-50000-P,0.2545,43048.27,20963046548,1706969596341,-296.10353,-14.33687,173.69414,2e-05,-0.45958,288219.47,26.0,-2.0992,0.256,0.2635,month,2024-12-27,50000,2024-12-27,0.6438356164383562,0.54115,1.1889733333333332,6717.404930395838,15966.866307288854,0.2565,6109.812694599736,9908.752648655494
160,10.0,10.0,55.11,57.1,BTC-27DEC24,46184.17,56.11,0.0,0.1615,0.169,117.9,0.665,0.0001,0.1715,"[[0.169, 10.0], [0.1735, 10.0]]","[[0.1615, 10.0], [0.1565, 9.8]]",0.1685019,BTC-27DEC24-52000-C,0.1653,43048.27,20963045092,1706969596341,145.88788,-14.93255,174.43124,2e-05,0.51707,167947.11,22.8,2.0833,0.168,0.1715,month,2024-12-27,52000,2024-12-27,0.6438356164383562,0.56105,1.1244,6342.519078093519,14505.84359476107,0.1715,5440.642721105429,6361.055518888007
161,5.0,0.9,54.6,499.98,BTC-27DEC24,46184.17,56.11,0.0,0.2855,1.107,173.5,0.791,0.0001,0.2865,"[[1.107, 0.9]]","[[0.2855, 5.0]]",0.29443394,BTC-27DEC24-52000-P,0.2912,43048.27,20963046870,1706969596342,-321.03077,-14.93255,174.43124,2e-05,-0.48293,302748.22,24.5,-2.0513,0.2845,0.2925,month,2024-12-27,52000,2024-12-27,0.6438356164383562,2.7729000000000004,1.1925083333333333,33243.74055628807,15452.563002051344,0.2865,5440.642721105429,38441.15989463245
162,11.0,11.0,55.38,57.49,BTC-27DEC24,46184.17,56.44,0.0,0.1495,0.1575,112.8,0.6535,0.0001,0.157,"[[0.1575, 11.0], [0.1615, 11.0]]","[[0.1495, 11.0], [0.145, 7.9]]",0.15675172,BTC-27DEC24-54000-C,0.1535,43048.27,20963047407,1706969596340,139.56053,-15.02878,174.53694,2e-05,0.49006,202418.01,29.8,1.6181,0.1545,0.16,month,2024-12-27,54000,2024-12-27,0.6438356164383562,0.56435,1.1280633333333332,5783.298850359159,14009.17424532367,0.157,4839.279069625169,5801.817847853366
163,5.0,0.8,54.65,500.2,BTC-27DEC24,46184.17,56.44,0.0,0.316,1.15,214.4,0.8225,0.0001,0.317,"[[1.15, 0.8]]","[[0.316, 5.0], [0.19, 5.1]]",0.32598883,BTC-27DEC24-54000-P,0.3228,43048.27,20963046577,1706969596340,-345.31652,-15.02878,174.53694,2e-05,-0.50994,616951.2,45.0,-1.5528,0.3155,0.325,month,2024-12-27,54000,2024-12-27,0.6438356164383562,2.7742500000000003,1.1986366666666666,33015.7682840415,15002.601443433019,0.317,4839.279069625169,40188.3808542989
164,11.0,11.0,56.06,57.52,BTC-27DEC24,46184.53,56.8,0.0,0.146,0.1515,142.3,0.6485,0.0001,0.1505,"[[0.1515, 11.0], [0.154, 22.0], [0.3, 1.0], [0.327, 2.0], [0.3415, 1.0], [0.3735, 1.0]]","[[0.146, 11.0], [0.1445, 11.0], [0.14, 10.9], [0.134, 8.0], [0.121, 3.0], [0.12, 2.0]]",0.14925071,BTC-27DEC24-55000-C,0.1488,43048.15,20963047548,1706969600368,136.48381,-15.10496,174.32398,2e-05,0.47788,48405.26,7.5,0.0,0.1505,0.1505,month,2024-12-27,55000,2024-12-27,0.6438356164383562,0.5679000000000001,1.12688,5552.636699873439,13728.73741776623,0.1505,4562.430600052925,5571.172023947256
165,5.0,0.8,54.64,500.32,BTC-27DEC24,46184.53,56.8,0.0,0.3315,1.1715,235.4,0.8395,0.0001,0.333,"[[1.1715, 0.8]]","[[0.3315, 5.0], [0.15, 1.0]]",0.34014036,BTC-27DEC24-55000-P,0.3396,43048.15,20963046320,1706969600369,-357.37245,-15.10496,174.32398,2e-05,-0.52212,669864.84,46.6,-1.3333,0.331,0.3405,month,2024-12-27,55000,2024-12-27,0.6438356164383562,2.7748000000000004,1.19953,32903.643673433,14757.53383608283,0.333,4562.430600052925,41063.48176681963
166,11.0,11.0,55.63,57.62,BTC-27DEC24,46184.53,56.63,0.0,0.1385,0.146,166.5,0.642,0.0001,0.146,"[[0.146, 11.0], [0.15, 11.0]]","[[0.1385, 11.0], [0.134, 10.9]]",0.14400012,BTC-27DEC24-56000-C,0.1423,43048.15,20963046732,1706969600368,133.34676,-15.02095,173.87366,2e-05,0.46381,137717.07,22.0,1.3889,0.144,0.146,month,2024-12-27,56000,2024-12-27,0.6438356164383562,0.56625,1.1262716666666668,5258.736830481883,13462.614541475183,0.146,4300.298673541416,5277.088540185815
167,5.0,0.8,54.69,500.41,BTC-27DEC24,46184.53,56.63,0.0,0.3475,1.193,239.6,0.8545,0.0001,0.349,"[[1.193, 0.8]]","[[0.3475, 5.0]]",0.35654231,BTC-27DEC24-56000-P,0.3548,43048.15,20963047542,1706969600368,-369.48871,-15.02095,173.87366,2e-05,-0.53619,542269.28,35.9,-1.4124,0.3475,0.357,month,2024-12-27,56000,2024-12-27,0.6438356164383562,2.7755,1.1999783333333336,32794.18449492612,14512.11322776322,0.349,4300.298673541416,41941.59961294326
168,11.0,17.0,56.43,57.9,BTC-27DEC24,46184.53,57.17,0.0,0.1305,0.136,123.5,0.633,0.0001,0.135,"[[0.136, 17.0], [0.1385, 11.0], [0.76, 2.0]]","[[0.1305, 11.0], [0.1295, 12.0], [0.1255, 6.0]]",0.13575119,BTC-27DEC24-58000-C,0.1333,43048.15,20963047773,1706969600368,127.42109,-15.05773,172.64847,2e-05,0.44052,116297.2,20.0,-0.369,0.135,0.136,month,2024-12-27,58000,2024-12-27,0.6438356164383562,0.57165,1.1293583333333335,4834.561796118529,13010.991227172102,0.135,3817.989276523622,4852.782406140746
169,5.0,0.7,54.86,500.55,BTC-27DEC24,46184.53,57.17,0.0,0.3805,1.236,20.1,0.889,0.0001,0.3835,"[[1.236, 0.7]]","[[0.3805, 5.0], [0.0001, 1.0]]",0.39159846,BTC-27DEC24-58000-P,0.3891,43048.15,20963046288,1706969600369,-393.37279,-15.05773,172.64847,2e-05,-0.55948,333294.49,20.1,-1.287,0.3825,0.3885,month,2024-12-27,58000,2024-12-27,0.6438356164383562,2.77705,1.2035366666666667,32581.482844224727,14076.874635820164,0.3835,3817.989276523622,43704.029345208066
170,4.0,6.0,57.01,58.23,BTC-27DEC24,46184.53,57.62,0.0,0.1225,0.127,113.8,0.6245,0.0001,0.126,"[[0.127, 6.0], [0.129, 11.0], [0.131, 22.0], [0.15, 2.0], [0.155, 1.0], [0.16, 1.0], [0.165, 1.0], [0.185, 2.0]]","[[0.1225, 4.0], [0.1215, 11.0], [0.1205, 6.0], [0.1185, 0.2], [0.11, 1.0], [0.1, 3.0]]",0.12675046,BTC-27DEC24-60000-C,0.1247,43048.15,20963047657,1706969600368,121.72075,-15.0234,170.91482,2e-05,0.41826,96072.55,17.8,1.2048,0.1245,0.1265,month,2024-12-27,60000,2024-12-27,0.6438356164383562,0.5761999999999999,1.1326266666666667,4442.186113631567,12586.354615711929,0.126,3387.3297175652824,4460.1797861474615
171,3.2,0.6,49.57,500.66,BTC-27DEC24,46184.53,57.62,0.0,0.3945,1.279,65.7,0.9235,0.0001,0.45,"[[1.279, 0.6]]","[[0.3945, 3.2]]",0.4259028,BTC-27DEC24-60000-P,0.4239,43048.15,20963046238,1706969600369,-417.03153,-15.0234,170.91482,2e-05,-0.58174,0.0,0.0,,,,month,2024-12-27,60000,2024-12-27,0.6438356164383562,2.75115,1.2060233333333334,32128.20446974004,13649.053957874998,0.45,3387.3297175652824,45225.97601414531
172,3.0,6.0,58.01,58.99,BTC-27DEC24,46184.53,58.5,0.0,0.104,0.1075,99.7,0.6055,0.0001,0.1055,"[[0.1075, 6.0], [0.1095, 12.0], [0.11, 6.0], [0.111, 12.0], [0.14, 1.0]]","[[0.104, 3.0], [0.1015, 24.0], [0.101, 12.0], [0.1005, 0.2], [0.08, 1.0], [0.079, 1.0]]",0.10649974,BTC-27DEC24-65000-C,0.1058,43048.15,20963047656,1706969600370,108.41488,-14.7104,164.82579,1e-05,0.36719,97673.29,21.5,0.0,0.1055,0.107,month,2024-12-27,65000,2024-12-27,0.6438356164383562,0.585,1.1347116666666668,3591.0617591301343,11531.66993959161,0.1055,2505.299180765289,3608.17626129733
173,3.1,0.6,49.67,500.82,BTC-27DEC24,46184.53,58.5,0.0,0.4825,1.3865,92.2,1.013,0.0135,0.504,"[[1.3865, 0.6]]","[[0.4825, 3.1]]",0.51391478,BTC-27DEC24-65000-P,0.5132,43048.15,20963046286,1706969600368,-475.23343,-14.7104,164.82579,1e-05,-0.63281,596405.34,27.4,-1.2733,0.502,0.5105,month,2024-12-27,65000,2024-12-27,0.6438356164383562,2.75245,1.2082016666666666,31605.035892552252,12610.23945405575,0.504,2505.299180765289,49640.46492658854
