best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price
0.0,0.0,0.0,0.0,BTC-29NOV24,68439.5,74.08,0.0,0.0,0.0,0.0015,0.0,0.0165,0.0001,0.0021649,0.0075,[],[],BTC-29NOV24-43000-P,66857.78,29073055649,1729886280758,-1.24211,-9.35124,9.02729,0.0,-0.01699,0.0,0.0,,,,month,29NOV24,43000
0.0,0.0,0.0,0.0,BTC-29NOV24,68438.48,84.15,0.0,0.0,0.0,0.4745,0.0,0.498,0.4525,0.46194552,0.455,[],[],BTC-29NOV24-36000-C,66856.52,29029115460,1729886281710,34.89681,-3.69338,3.13872,0.0,0.99493,0.0,0.0,,,,month,29NOV24,36000
5687.0,38.9,85.07,60.1,BTC-29NOV24,68438.48,72.12,0.3575,0.361,0.0,0.3586,142.2,0.39,0.331,0.34404091,0.3425,"[[0.361, 38.9]]","[[0.3575, 5687.0], [0.357, 28273.2]]",BTC-29NOV24-44000-C,66856.52,29188427391,1729886281916,40.34438,-9.61193,9.19603,0.0,0.98227,0.0,0.0,,,,month,29NOV24,44000
7.1,23.1,66.22,63.86,BTC-29NOV24,68438.48,65.02,0.0023,0.0028,0.0,0.0025,6.6,0.019,0.0001,0.00389656,0.0026,"[[0.0028, 23.1]]","[[0.0023, 7.1]]",BTC-29NOV24-48000-P,66856.52,29188227081,1729886281677,-2.13448,-13.65561,14.49538,1e-05,-0.03045,0.0,0.0,,,,month,29NOV24,48000
0.1,0.0,0.0,0.0,BTC-29NOV24,68438.48,74.01,0.0315,0.0,0.0,0.3732,0.0,0.4035,0.346,0.35872945,,[],"[[0.0315, 0.1]]",BTC-29NOV24-43000-C,66856.52,29033283550,1729886281710,40.88915,-9.30546,8.99212,0.0,0.98309,0.0,0.0,,,,month,29NOV24,43000
23.9,0.6,77.67,75.89,BTC-29NOV24,68438.48,78.26,0.0012,0.0014,0.0,0.0015,75.0,0.016,0.0001,0.00193981,0.0012,"[[0.0014, 0.6]]","[[0.0012, 23.9], [0.0011, 136.2], [0.001, 331.8], [0.0009, 210.5], [0.0008, 956.1], [0.0007, 210.9], [0.0006, 161.7], [0.0004, 1421.8], [0.0003, 924.2], [0.0002, 381.7]]",BTC-29NOV24-42000-P,66856.52,29188426915,1729886281677,-1.11661,-9.44446,8.32764,0.0,-0.01579,811.75,10.0,0.0,0.0012,0.0012,month,29NOV24,42000
0.0,0.0,0.0,0.0,BTC-29NOV24,68438.48,84.15,0.0,0.0,0.0,0.5034,0.0,0.525,0.483,0.49158322,0.485,[],[],BTC-29NOV24-34000-C,66856.52,29089241011,1729886281677,33.11541,-2.06502,1.75491,0.0,0.99735,0.0,0.0,,,,month,29NOV24,34000
0.0,0.0,0.0,0.0,BTC-29NOV24,68438.48,65.72,0.0,0.0,0.0,0.0023,0.0,0.017,0.0001,0.00341515,0.0001,[],[],BTC-29NOV24-47000-P,66856.52,29131969463,1729886281677,-1.95016,-12.20255,13.27846,0.0,-0.02682,0.0,0.0,,,,month,29NOV24,47000
38.4,38.4,74.03,48.48,BTC-29NOV24,68438.48,65.02,0.299,0.3035,0.0,0.3012,7.8,0.336,0.2705,0.28564061,0.3055,"[[0.3035, 38.4]]","[[0.299, 38.4], [0.0315, 0.1]]",BTC-29NOV24-48000-C,66856.52,29188426952,1729886281677,43.23873,-13.65209,14.48814,1e-05,0.96957,0.0,0.0,,,,month,29NOV24,48000
0.0,0.0,0.0,0.0,BTC-29NOV24,68438.48,84.15,0.0,0.0,0.0,0.0001,0.0,0.015,0.0001,0.00016166,,[],[],BTC-29NOV24-32000-P,66856.52,29073055643,1729886281677,-0.09215,-1.05868,0.89969,0.0,-0.00127,0.0,0.0,,,,month,29NOV24,32000
